run_id,model,country,category,table,sel_mase,sel_smape,sel_mae,sel_rmse,hold_mase,hold_smape,hold_mae,hold_rmse,secs
20260617T094520-97373bc,naive,all_chargeability,F1,FAD,0.9380877794307508,2.89310992096291,337.5943396226415,429.53792225011216,1.0198775381567693,2.3184143410912643,348.5,357.47773823461137,0.1
20260617T094520-97373bc,arima,all_chargeability,F1,FAD,0.14740317455440807,0.4598706005402031,53.0467174427676,76.42172311767624,0.16104178940552477,0.3619449741691665,55.02921822286324,71.72920648742016,10.0
20260617T094520-97373bc,sarima,all_chargeability,F1,FAD,0.122543973117926,0.37912741901333025,44.100512325813625,67.51682693513835,0.15919858880879476,0.35815236912517806,54.39938240049446,68.11849387325321,35.0
20260617T094520-97373bc,prophet,all_chargeability,F1,FAD,0.5926565675627913,1.7672432881794422,213.28228225165952,267.6212400430454,0.5073741587928703,1.140225642443346,173.37365293766834,218.6706629023042,17.9
20260617T094520-97373bc,lstm,all_chargeability,F1,FAD,1.1130065959128828,3.5436124351813003,400.54324870414877,510.7198679304316,0.691991468059942,1.5627642141152043,236.45880764737498,261.06498449465516,18.5
20260617T094520-97373bc,deepar,all_chargeability,F1,FAD,0.8729631127238612,2.8237772630820306,314.1576001914995,456.9583441074718,0.5984259449603785,1.3516335126736134,204.48674866946104,242.4470195946783,18.9
20260617T094520-97373bc,arima_lstm,all_chargeability,F1,FAD,0.26863955346699625,0.7905197316219865,96.67665930393528,117.08788902667325,0.20248170370365978,0.4543764353181296,69.1895557071075,83.4276096384904,1.2
20260617T094520-97373bc,xgboost,all_chargeability,F1,FAD,0.1509209832955953,0.46613386472028195,54.31268886350236,96.18558514206974,0.1080096107714083,0.24111127291428125,36.90771484375,67.92963854316525,32.9
20260617T094520-97373bc,naive,all_chargeability,F2A,FAD,0.9337984264251596,3.4679574537105804,448.70959803117313,545.6834762472488,1.6461993800526755,4.377986815537926,748.3333333333334,826.7766727881639,0.1
20260617T094520-97373bc,arima,all_chargeability,F2A,FAD,0.12680097532880438,0.4489044566008328,60.93051033247652,144.04165034090573,0.13834126741809133,0.35541201868213435,62.88751109918758,128.84167158881576,7.1
20260617T094520-97373bc,sarima,all_chargeability,F2A,FAD,0.10845796617419992,0.3884179677214525,52.116312287665025,133.72299635535543,0.1386361104243655,0.356812103417131,63.02154155283051,121.92472193525728,40.7
20260617T094520-97373bc,prophet,all_chargeability,F2A,FAD,0.3821309519022963,1.392688077083942,183.62188345055137,291.11627837633387,0.7411483475202454,1.9225854171786132,336.9130253083742,384.2084233947196,18.4
20260617T094520-97373bc,lstm,all_chargeability,F2A,FAD,1.0491284136886168,3.9121933970447866,504.1280596193322,592.077821772642,1.5004511228511437,3.943703318256645,682.0787347344344,724.286292379943,18.3
20260617T094520-97373bc,deepar,all_chargeability,F2A,FAD,0.9459394959171338,3.5508118619484095,454.5436348610144,603.3838658601137,0.8063977606615719,2.1055605086117186,366.57426283874565,453.75906459000464,18.6
