run_id,model,country,category,table,sel_mase,sel_smape,sel_mae,sel_rmse,hold_mase,hold_smape,hold_mae,hold_rmse,hold_msis,hold_interval_score,hold_coverage,secs
20260618T040945-f10f176,naive,all_chargeability,EB1,FAD,1.2624055783477623,2.6629673683602477,394.10182085580226,424.7789983393477,1.2329126071958287,2.6593600692529358,455.0145833333334,455.0781060479253,4.048247928375722,1494.032775404441,1.0,0.1
20260618T040945-f10f176,ets,all_chargeability,EB1,FAD,0.08682697790063311,0.17385593359154272,27.105924337590018,101.10732210655218,0.015523100263276903,0.032833897440796046,5.728903214317294,8.02897509993822,1.377935714907202,508.53632408272824,1.0,0.9
20260618T040945-f10f176,theta,all_chargeability,EB1,FAD,0.11720396774240666,0.23862585078670123,36.58911041827071,90.66403602129324,0.07544621891347515,0.1608557662324692,27.843927998327064,28.08763843693476,0.6291362113679383,232.18689581460785,1.0,0.2
20260618T040945-f10f176,arima,all_chargeability,EB1,FAD,0.1187479937064071,0.2353953677536251,37.071129394024624,117.10200961329225,0.03358123082669145,0.07167604380564782,12.393376191667508,14.83259256792098,1.6673418409207206,615.3435763353118,1.0,8.7
20260618T040945-f10f176,sarima,all_chargeability,EB1,FAD,0.1144228312358591,0.22739987319017468,35.72088630703584,127.28552123814129,0.049374096629573504,0.10470191114002603,18.221838169424093,25.275412301887854,1.7177150618390875,633.9341479569775,1.0,25.3
20260618T040945-f10f176,kalman,all_chargeability,EB1,FAD,2.3890037172727077,9.26413530509564,745.806839859425,3382.2985078042275,0.008269567591096552,0.017314472445585524,3.0519388234400444,8.599008964985227,83.67157159353894,30879.549015295448,1.0,1.1
20260618T040945-f10f176,xgboost,all_chargeability,EB1,FAD,0.14988399718780587,0.2988684767075654,46.79126678620235,158.66921131235878,0.004753100759339378,0.009917130428744307,1.7541633923844226,7.778572548406712,1.6171639895724677,596.8251071506093,1.0,9.6
20260618T040945-f10f176,lightgbm,all_chargeability,EB1,FAD,0.07453794281357569,0.14793875752383845,23.26949396415261,84.00076444685632,0.026957602523537443,0.05678225003250475,9.948882190288714,16.798401576759623,0.5171612473725761,190.86179191937117,1.0,5.0
20260618T040945-f10f176,chronos,all_chargeability,EB1,FAD,0.1968189293011011,0.40205030485978815,61.443564371739164,107.85205891999672,0.15879402073647558,0.3388760670678895,58.603987630208245,67.22920612853767,0.6444953545084733,237.85528956422058,1.0,1.7
20260618T040945-f10f176,naive,all_chargeability,EB2,FAD,3.4131622706313673,3.5090243056901245,515.3151693258367,616.7923060113116,0.6224380238938237,1.4907807279763947,262.5416666666667,278.5572203336327,6.4986252849152395,2741.0920410524723,1.0,0.0
20260618T040945-f10f176,ets,all_chargeability,EB2,FAD,0.17734120015675212,0.17423968462636477,26.77476291518923,59.79758109123796,0.09498045707827707,0.22485517976288363,40.06234604064988,56.029050502436824,0.9106624151693292,384.1134684439385,1.0,1.1
20260618T040945-f10f176,theta,all_chargeability,EB2,FAD,0.3225108383926183,0.32825114503023134,48.692301777075166,67.45893983905293,0.08357431293482089,0.19785383697701406,35.25128376824917,51.48662582845733,0.8098514629582652,341.5918447709907,0.9583333333333334,0.2
