EB_level,final_action_dates,visa_bulletin_date,table_type,raw_value,status,visa_wait_time
EB3,2016-03-01,2016-07-01 00:00:00,final_action,01MAR16,F,0.33401779603011633
EB3_OW,2016-03-01,2016-07-01 00:00:00,final_action,01MAR16,F,0.33401779603011633
EB4,2016-07-01,2016-07-01 00:00:00,final_action,C,C,0.0
EB4_RW,2016-07-01,2016-07-01 00:00:00,final_action,C,C,0.0
EB5_NONRC,2016-07-01,2016-07-01 00:00:00,final_action,C,C,0.0
EB5_RC,2016-07-01,2016-07-01 00:00:00,final_action,C,C,0.0
EB1,2016-06-01,2016-06-01 00:00:00,dates_for_filing,C,C,0.0
EB2,2016-06-01,2016-06-01 00:00:00,dates_for_filing,C,C,0.0
EB3,2016-06-01,2016-06-01 00:00:00,dates_for_filing,C,C,0.0
EB3_OW,2016-06-01,2016-06-01 00:00:00,dates_for_filing,C,C,0.0
EB4,2016-06-01,2016-06-01 00:00:00,dates_for_filing,C,C,0.0
EB4_RW,2016-06-01,2016-06-01 00:00:00,dates_for_filing,C,C,0.0
EB5_NONRC,2016-06-01,2016-06-01 00:00:00,dates_for_filing,C,C,0.0
EB5_RC,2016-06-01,2016-06-01 00:00:00,dates_for_filing,C,C,0.0
EB1,2016-06-01,2016-06-01 00:00:00,final_action,C,C,0.0
EB2,2016-06-01,2016-06-01 00:00:00,final_action,C,C,0.0
EB3,2016-02-15,2016-06-01 00:00:00,final_action,15FEB16,F,0.2929500342231348
EB3_OW,2016-02-15,2016-06-01 00:00:00,final_action,15FEB16,F,0.2929500342231348
EB4,2016-06-01,2016-06-01 00:00:00,final_action,C,C,0.0
EB4_RW,2016-06-01,2016-06-01 00:00:00,final_action,C,C,0.0
EB5_NONRC,2016-06-01,2016-06-01 00:00:00,final_action,C,C,0.0
EB5_RC,2016-06-01,2016-06-01 00:00:00,final_action,C,C,0.0
EB1,2016-05-01,2016-05-01 00:00:00,dates_for_filing,C,C,0.0
EB2,2016-05-01,2016-05-01 00:00:00,dates_for_filing,C,C,0.0
EB3,2016-05-01,2016-05-01 00:00:00,dates_for_filing,C,C,0.0
EB3_OW,2016-05-01,2016-05-01 00:00:00,dates_for_filing,C,C,0.0
EB4,2016-05-01,2016-05-01 00:00:00,dates_for_filing,C,C,0.0
EB4_RW,2016-05-01,2016-05-01 00:00:00,dates_for_filing,C,C,0.0
EB5_NONRC,2016-05-01,2016-05-01 00:00:00,dates_for_filing,C,C,0.0
EB5_RC,2016-05-01,2016-05-01 00:00:00,dates_for_filing,C,C,0.0
EB1,2016-05-01,2016-05-01 00:00:00,final_action,C,C,0.0
EB2,2016-05-01,2016-05-01 00:00:00,final_action,C,C,0.0
EB3,2016-02-15,2016-05-01 00:00:00,final_action,15FEB16,F,0.2080766598220397
EB3_OW,2016-02-15,2016-05-01 00:00:00,final_action,15FEB16,F,0.2080766598220397
EB4,2016-05-01,2016-05-01 00:00:00,final_action,C,C,0.0
EB4_RW,2016-05-01,2016-05-01 00:00:00,final_action,C,C,0.0
EB5_NONRC,2016-05-01,2016-05-01 00:00:00,final_action,C,C,0.0
EB5_RC,2016-05-01,2016-05-01 00:00:00,final_action,C,C,0.0
EB1,2016-04-01,2016-04-01 00:00:00,dates_for_filing,C,C,0.0
EB2,2016-04-01,2016-04-01 00:00:00,dates_for_filing,C,C,0.0
EB3,2016-04-01,2016-04-01 00:00:00,dates_for_filing,C,C,0.0
EB3_OW,2016-04-01,2016-04-01 00:00:00,dates_for_filing,C,C,0.0
EB4,2016-04-01,2016-04-01 00:00:00,dates_for_filing,C,C,0.0
EB4_RW,2016-04-01,2016-04-01 00:00:00,dates_for_filing,C,C,0.0
EB5_NONRC,2016-04-01,2016-04-01 00:00:00,dates_for_filing,C,C,0.0
EB5_RC,2016-04-01,2016-04-01 00:00:00,dates_for_filing,C,C,0.0
EB1,2016-04-01,2016-04-01 00:00:00,final_action,C,C,0.0
EB2,2016-04-01,2016-04-01 00:00:00,final_action,C,C,0.0
EB3,2016-02-15,2016-04-01 00:00:00,final_action,15FEB16,F,0.12594113620807665
EB3_OW,2016-02-15,2016-04-01 00:00:00,final_action,15FEB16,F,0.12594113620807665
EB4,2016-04-01,2016-04-01 00:00:00,final_action,C,C,0.0
EB4_RW,2016-04-01,2016-04-01 00:00:00,final_action,C,C,0.0
EB5_NONRC,2016-04-01,2016-04-01 00:00:00,final_action,C,C,0.0
EB5_RC,2016-04-01,2016-04-01 00:00:00,final_action,C,C,0.0
EB1,2016-03-01,2016-03-01 00:00:00,dates_for_filing,C,C,0.0
