EB_level,final_action_dates,visa_bulletin_date,table_type,raw_value,status,visa_wait_time
3,2021-03-01,2025-10-01 00:00:00,final_action,01MAR21,F,4.58590006844627
1,2022-11-15,2025-09-01 00:00:00,final_action,15NOV22,F,2.7953456536618755
2,2020-12-15,2025-09-01 00:00:00,final_action,15DEC20,F,4.7118412046543465
3,2020-12-01,2025-09-01 00:00:00,final_action,01DEC20,F,4.7501711156741955
4,,2025-09-01 00:00:00,final_action,U,U,
1,2023-01-01,2025-09-01 00:00:00,dates_for_filing,01JAN23,F,2.6666666666666665
2,2021-01-01,2025-09-01 00:00:00,dates_for_filing,01JAN21,F,4.6652977412731005
3,2020-12-22,2025-09-01 00:00:00,dates_for_filing,22DEC20,F,4.692676249144422
4,2021-02-01,2025-09-01 00:00:00,dates_for_filing,01FEB21,F,4.5804243668720055
1,2023-01-01,2025-08-01 00:00:00,dates_for_filing,01JAN23,F,2.5817932922655715
4,2021-02-01,2025-08-01 00:00:00,dates_for_filing,01FEB21,F,4.4955509924709105
3,2020-12-22,2025-08-01 00:00:00,dates_for_filing,22DEC20,F,4.607802874743326
2,2021-01-01,2025-08-01 00:00:00,dates_for_filing,01JAN21,F,4.5804243668720055
1,2022-11-15,2025-08-01 00:00:00,final_action,15NOV22,F,2.7104722792607805
4,,2025-08-01 00:00:00,final_action,U,U,
3,2020-12-01,2025-08-01 00:00:00,final_action,01DEC20,F,4.6652977412731005
2,2020-12-15,2025-08-01 00:00:00,final_action,15DEC20,F,4.6269678302532515
1,2023-01-01,2025-07-01 00:00:00,dates_for_filing,01JAN23,F,2.4969199178644765
4,2021-02-01,2025-07-01 00:00:00,dates_for_filing,01FEB21,F,4.4106776180698155
3,2020-12-22,2025-07-01 00:00:00,dates_for_filing,22DEC20,F,4.522929500342231
2,2021-01-01,2025-07-01 00:00:00,dates_for_filing,01JAN21,F,4.4955509924709105
3,2020-12-01,2025-07-01 00:00:00,final_action,01DEC20,F,4.5804243668720055
4,,2025-07-01 00:00:00,final_action,U,U,
2,2020-12-15,2025-07-01 00:00:00,final_action,15DEC20,F,4.542094455852156
1,2022-11-15,2025-07-01 00:00:00,final_action,15NOV22,F,2.625598904859685
1,2022-11-08,2025-06-01 00:00:00,final_action,08NOV22,F,2.5626283367556466
2,2020-12-01,2025-06-01 00:00:00,final_action,01DEC20,F,4.498288843258043
3,2020-11-22,2025-06-01 00:00:00,final_action,22NOV20,F,4.522929500342231
4,,2025-06-01 00:00:00,final_action,U,U,
1,2023-01-01,2025-06-01 00:00:00,dates_for_filing,01JAN23,F,2.414784394250513
2,2021-01-01,2025-06-01 00:00:00,dates_for_filing,01JAN21,F,4.413415468856948
3,2020-12-22,2025-06-01 00:00:00,dates_for_filing,22DEC20,F,4.440793976728268
4,2021-02-01,2025-06-01 00:00:00,dates_for_filing,01FEB21,F,4.328542094455853
1,2023-01-01,2025-05-01 00:00:00,dates_for_filing,01JAN23,F,2.329911019849418
4,2021-02-01,2025-05-01 00:00:00,dates_for_filing,01FEB21,F,4.243668720054757
3,2020-11-15,2025-05-01 00:00:00,dates_for_filing,15NOV20,F,4.457221081451061
2,2020-11-01,2025-05-01 00:00:00,dates_for_filing,01NOV20,F,4.4955509924709105
1,2022-11-08,2025-05-01 00:00:00,final_action,08NOV22,F,2.4777549623545516
4,,2025-05-01 00:00:00,final_action,U,U,
3,2020-11-01,2025-05-01 00:00:00,final_action,01NOV20,F,4.4955509924709105
2,2020-10-01,2025-05-01 00:00:00,final_action,01OCT20,F,4.5804243668720055
2,2020-11-01,2025-04-01 00:00:00,dates_for_filing,01NOV20,F,4.413415468856948
4,2021-02-01,2025-04-01 00:00:00,dates_for_filing,01FEB21,F,4.161533196440794
3,2020-11-15,2025-04-01 00:00:00,dates_for_filing,15NOV20,F,4.375085557837098
1,2023-01-01,2025-04-01 00:00:00,dates_for_filing,01JAN23,F,2.2477754962354553
1,2022-11-08,2025-04-01 00:00:00,final_action,08NOV22,F,2.3956194387405887
3,2020-11-01,2025-04-01 00:00:00,final_action,01NOV20,F,4.413415468856948
2,2020-10-01,2025-04-01 00:00:00,final_action,01OCT20,F,4.498288843258043
4,,2025-04-01 00:00:00,final_action,U,U,
1,2023-01-01,2025-03-01 00:00:00,dates_for_filing,01JAN23,F,2.16290212183436
4,2021-02-01,2025-03-01 00:00:00,dates_for_filing,01FEB21,F,4.076659822039699
2,2020-10-01,2025-03-01 00:00:00,dates_for_filing,01OCT20,F,4.413415468856948
3,2020-11-15,2025-03-01 00:00:00,dates_for_filing,15NOV20,F,4.290212183436003
4,2019-08-01,2025-03-01 00:00:00,final_action,01AUG19,F,5.582477754962355
3,2020-08-01,2025-03-01 00:00:00,final_action,01AUG20,F,4.5804243668720055
2,2020-05-08,2025-03-01 00:00:00,final_action,08MAY20,F,4.813141683778234
1,2022-11-08,2025-03-01 00:00:00,final_action,08NOV22,F,2.3107460643394937
2,2020-04-22,2025-02-01 00:00:00,final_action,22APR20,F,4.780287474332649
3,2020-07-01,2025-02-01 00:00:00,final_action,01JUL20,F,4.588637919233402
4,2021-01-01,2025-02-01 00:00:00,final_action,01JAN21,F,4.084873374401095
1,2023-01-01,2025-02-01 00:00:00,dates_for_filing,01JAN23,F,2.086242299794661
2,2020-10-01,2025-02-01 00:00:00,dates_for_filing,01OCT20,F,4.336755646817249
3,2020-11-15,2025-02-01 00:00:00,dates_for_filing,15NOV20,F,4.213552361396304
4,2021-02-01,2025-02-01 00:00:00,dates_for_filing,01FEB21,F,4.0
1,2022-11-08,2025-02-01 00:00:00,final_action,08NOV22,F,2.2340862422997945
3,2020-11-15,2025-01-01 00:00:00,dates_for_filing,15NOV20,F,4.128678986995209
1,2023-01-01,2025-01-01 00:00:00,dates_for_filing,01JAN23,F,2.001368925393566
4,2021-02-01,2025-01-01 00:00:00,dates_for_filing,01FEB21,F,3.915126625598905
2,2020-10-01,2025-01-01 00:00:00,dates_for_filing,01OCT20,F,4.251882272416153
1,2022-11-08,2025-01-01 00:00:00,final_action,08NOV22,F,2.1492128678986995
4,2021-01-01,2025-01-01 00:00:00,final_action,01JAN21,F,4.0
2,2020-04-22,2025-01-01 00:00:00,final_action,22APR20,F,4.695414099931554
3,2020-06-01,2025-01-01 00:00:00,final_action,01JUN20,F,4.58590006844627
1,2022-11-08,2024-12-01 00:00:00,final_action,08NOV22,F,2.0643394934976045
2,2020-03-22,2024-12-01 00:00:00,final_action,22MAR20,F,4.695414099931554
3,2020-04-01,2024-12-01 00:00:00,final_action,01APR20,F,4.6680355920602326
4,2021-01-01,2024-12-01 00:00:00,final_action,01JAN21,F,3.915126625598905
1,2023-01-01,2024-12-01 00:00:00,dates_for_filing,01JAN23,F,1.9164955509924708
2,2020-10-01,2024-12-01 00:00:00,dates_for_filing,01OCT20,F,4.167008898015058
3,2020-11-15,2024-12-01 00:00:00,dates_for_filing,15NOV20,F,4.043805612594114
4,2021-02-01,2024-12-01 00:00:00,dates_for_filing,01FEB21,F,3.8302532511978096
1,2023-01-01,2024-11-01 00:00:00,dates_for_filing,01JAN23,F,1.834360027378508
4,2021-02-01,2024-11-01 00:00:00,dates_for_filing,01FEB21,F,3.7481177275838466
3,2020-11-15,2024-11-01 00:00:00,dates_for_filing,15NOV20,F,3.9616700889801506
2,2020-10-01,2024-11-01 00:00:00,dates_for_filing,01OCT20,F,4.084873374401095
1,2022-11-08,2024-11-01 00:00:00,final_action,08NOV22,F,1.9822039698836413
4,2021-01-01,2024-11-01 00:00:00,final_action,01JAN21,F,3.8329911019849416
3,2020-04-01,2024-11-01 00:00:00,final_action,01APR20,F,4.58590006844627
2,2020-03-22,2024-11-01 00:00:00,final_action,22MAR20,F,4.61327857631759
1,2023-01-01,2024-10-01 00:00:00,dates_for_filing,01JAN23,F,1.7494866529774127
4,2021-02-01,2024-10-01 00:00:00,dates_for_filing,01FEB21,F,3.6632443531827517
3,2020-11-15,2024-10-01 00:00:00,dates_for_filing,15NOV20,F,3.8767967145790556
2,2020-10-01,2024-10-01 00:00:00,dates_for_filing,01OCT20,F,4.0
1,2022-11-08,2024-10-01 00:00:00,final_action,08NOV22,F,1.8973305954825461
4,2021-01-01,2024-10-01 00:00:00,final_action,01JAN21,F,3.7481177275838466
3,2020-04-01,2024-10-01 00:00:00,final_action,01APR20,F,4.501026694045175
2,2020-03-22,2024-10-01 00:00:00,final_action,22MAR20,F,4.528405201916495
1,2022-11-01,2024-09-01 00:00:00,final_action,01NOV22,F,1.834360027378508
2,2020-03-01,2024-09-01 00:00:00,final_action,01MAR20,F,4.503764544832307
3,2020-09-01,2024-09-01 00:00:00,final_action,01SEP20,F,4.0
4,2021-01-01,2024-09-01 00:00:00,final_action,01JAN21,F,3.6659822039698837
1,2023-01-01,2024-09-01 00:00:00,dates_for_filing,01JAN23,F,1.6673511293634498
2,2020-06-01,2024-09-01 00:00:00,dates_for_filing,01JUN20,F,4.251882272416153
3,2021-07-01,2024-09-01 00:00:00,dates_for_filing,01JUL21,F,3.1704312114989732
4,2021-02-01,2024-09-01 00:00:00,dates_for_filing,01FEB21,F,3.5811088295687883
1,2023-01-01,2024-08-01 00:00:00,dates_for_filing,01JAN23,F,1.5824777549623545
4,2021-02-01,2024-08-01 00:00:00,dates_for_filing,01FEB21,F,3.4962354551676933
3,2021-07-01,2024-08-01 00:00:00,dates_for_filing,01JUL21,F,3.0855578370978782
2,2020-06-01,2024-08-01 00:00:00,dates_for_filing,01JUN20,F,4.167008898015058
2,2020-03-01,2024-08-01 00:00:00,final_action,01MAR20,F,4.418891170431212
4,2021-01-01,2024-08-01 00:00:00,final_action,01JAN21,F,3.5811088295687883
1,2022-11-01,2024-08-01 00:00:00,final_action,01NOV22,F,1.7494866529774127
3,2020-09-01,2024-08-01 00:00:00,final_action,01SEP20,F,3.915126625598905
1,2022-11-01,2024-07-01 00:00:00,final_action,01NOV22,F,1.6646132785763177
2,2020-03-01,2024-07-01 00:00:00,final_action,01MAR20,F,4.334017796030117
3,2020-09-01,2024-07-01 00:00:00,final_action,01SEP20,F,3.8302532511978096
4,2021-01-01,2024-07-01 00:00:00,final_action,01JAN21,F,3.4962354551676933
1,2023-01-01,2024-07-01 00:00:00,dates_for_filing,01JAN23,F,1.4976043805612593
2,2020-06-01,2024-07-01 00:00:00,dates_for_filing,01JUN20,F,4.082135523613963
3,2021-07-01,2024-07-01 00:00:00,dates_for_filing,01JUL21,F,3.0006844626967832
4,2021-02-01,2024-07-01 00:00:00,dates_for_filing,01FEB21,F,3.4113620807665983
1,2023-01-01,2024-06-01 00:00:00,dates_for_filing,01JAN23,F,1.4154688569472964
4,2020-12-01,2024-06-01 00:00:00,dates_for_filing,01DEC20,F,3.4989733059548254
3,2021-07-01,2024-06-01 00:00:00,dates_for_filing,01JUL21,F,2.91854893908282
2,2020-06-01,2024-06-01 00:00:00,dates_for_filing,01JUN20,F,4.0
1,2022-09-01,2024-06-01 00:00:00,final_action,01SEP22,F,1.7494866529774127
4,2020-11-01,2024-06-01 00:00:00,final_action,01NOV20,F,3.5811088295687883
3,2020-09-01,2024-06-01 00:00:00,final_action,01SEP20,F,3.7481177275838466
2,2020-02-01,2024-06-01 00:00:00,final_action,01FEB20,F,4.331279945242985
2,2020-06-01,2024-05-01 00:00:00,dates_for_filing,01JUN20,F,3.915126625598905
4,2020-12-01,2024-05-01 00:00:00,dates_for_filing,01DEC20,F,3.4140999315537304
3,2021-07-01,2024-05-01 00:00:00,dates_for_filing,01JUL21,F,2.833675564681725
1,2023-01-01,2024-05-01 00:00:00,dates_for_filing,01JAN23,F,1.3305954825462012
1,2022-09-01,2024-05-01 00:00:00,final_action,01SEP22,F,1.6646132785763177
3,2020-09-01,2024-05-01 00:00:00,final_action,01SEP20,F,3.6632443531827517
2,2020-02-01,2024-05-01 00:00:00,final_action,01FEB20,F,4.246406570841889
4,2020-11-01,2024-05-01 00:00:00,final_action,01NOV20,F,3.4962354551676933
1,2023-01-01,2024-04-01 00:00:00,dates_for_filing,01JAN23,F,1.2484599589322383
4,2020-12-01,2024-04-01 00:00:00,dates_for_filing,01DEC20,F,3.3319644079397674
2,2020-06-01,2024-04-01 00:00:00,dates_for_filing,01JUN20,F,3.8329911019849416
3,2021-07-01,2024-04-01 00:00:00,dates_for_filing,01JUL21,F,2.751540041067762
4,2020-11-01,2024-04-01 00:00:00,final_action,01NOV20,F,3.4140999315537304
3,2020-09-01,2024-04-01 00:00:00,final_action,01SEP20,F,3.5811088295687883
2,2020-02-01,2024-04-01 00:00:00,final_action,01FEB20,F,4.164271047227926
1,2022-09-01,2024-04-01 00:00:00,final_action,01SEP22,F,1.5824777549623545
2,2020-01-01,2024-03-01 00:00:00,final_action,01JAN20,F,4.164271047227926
3,2020-09-01,2024-03-01 00:00:00,final_action,01SEP20,F,3.4962354551676933
4,2019-12-01,2024-03-01 00:00:00,final_action,01DEC19,F,4.249144421629021
1,2023-01-01,2024-03-01 00:00:00,dates_for_filing,01JAN23,F,1.163586584531143
2,2020-06-01,2024-03-01 00:00:00,dates_for_filing,01JUN20,F,3.7481177275838466
3,2021-07-01,2024-03-01 00:00:00,dates_for_filing,01JUL21,F,2.6666666666666665
4,2020-01-01,2024-03-01 00:00:00,dates_for_filing,01JAN20,F,4.164271047227926
1,2022-07-15,2024-03-01 00:00:00,final_action,15JUL22,F,1.6290212183436004
3,2021-07-01,2024-02-01 00:00:00,dates_for_filing,01JUL21,F,2.5872689938398357
1,2023-01-01,2024-02-01 00:00:00,dates_for_filing,01JAN23,F,1.0841889117043122
4,2019-09-01,2024-02-01 00:00:00,dates_for_filing,01SEP19,F,4.418891170431212
2,2020-06-01,2024-02-01 00:00:00,dates_for_filing,01JUN20,F,3.668720054757016
1,2022-07-01,2024-02-01 00:00:00,final_action,01JUL22,F,1.5879534565366187
4,2019-05-15,2024-02-01 00:00:00,final_action,15MAY19,F,4.717316906228611
2,2020-01-01,2024-02-01 00:00:00,final_action,01JAN20,F,4.084873374401095
3,2020-09-01,2024-02-01 00:00:00,final_action,01SEP20,F,3.4168377823408624
1,2022-07-01,2024-01-01 00:00:00,final_action,01JUL22,F,1.5030800821355237
2,2020-01-01,2024-01-01 00:00:00,final_action,01JAN20,F,4.0
3,2020-09-01,2024-01-01 00:00:00,final_action,01SEP20,F,3.3319644079397674
4,2019-05-15,2024-01-01 00:00:00,final_action,15MAY19,F,4.632443531827516
