run_id,model,country,category,table,sel_mase,sel_smape,sel_mae,sel_rmse,hold_mase,hold_smape,hold_mae,hold_rmse,hold_msis,hold_interval_score,hold_coverage,sel_mase1,hold_mase1,secs
20260704T100200-ea94a2a,xgboost,all_chargeability,F1,FAD,0.07154244576776231,0.20648610356643346,25.122992299569464,51.28005284361003,0.12464863519810415,0.28675559589643324,43.771870930989586,59.10983649258507,1.035343865112539,363.5734796524048,0.8333333333333334,0.4743238194297603,0.8264159283259136,95.0
20260704T100200-ea94a2a,lightgbm,all_chargeability,F1,FAD,0.07109222917879415,0.20777570619052854,24.96489331684106,53.03136272056077,0.12281265991151612,0.28236635189133896,43.127146075805285,63.185672892759975,1.1389455636660883,399.9544650527666,0.8333333333333334,0.47133889978159477,0.8142434787965812,55.0
20260704T100200-ea94a2a,catboost,all_chargeability,F1,FAD,0.08154610843708178,0.2405393091362869,28.63589904341539,55.19747034702535,0.12267422731803712,0.28217128278620396,43.078533801753714,59.8398268826177,0.9845621734142835,345.7408764222079,0.875,0.5406477399314641,0.8133256757250218,33.6
20260704T100200-ea94a2a,xgboost,all_chargeability,F2A,FAD,0.09897340651986064,0.3939467541892376,53.20925643330838,145.33200648899228,0.11220866589444821,0.34115012987634,60.324686070283256,119.36917363199473,1.6767464377026122,901.4384198188782,0.9583333333333334,0.6894613152223037,0.7816598123396111,89.5
20260704T100200-ea94a2a,lightgbm,all_chargeability,F2A,FAD,0.10116541428438208,0.4022201949041966,54.38770534546965,146.45117456991207,0.11990902121455516,0.3649503787443056,64.46448680325027,119.83606152528405,1.6738068388976557,899.8580572535806,0.9583333333333334,0.7047311196015354,0.8353014651164572,56.6
20260704T100200-ea94a2a,catboost,all_chargeability,F2A,FAD,0.10583569121587114,0.4209742673483098,56.89850063483154,147.38882787795157,0.12281345258369304,0.37311059441306804,66.02594294533417,122.14062242253084,1.6218385318683908,871.9192899386435,0.9583333333333334,0.7372648616324384,0.8555341027728856,43.5
20260704T100200-ea94a2a,xgboost,all_chargeability,F2B,FAD,0.06920758775609034,0.2402047265703608,28.00883050566738,69.21051118949478,0.08075133928172645,0.21338693787199237,32.68067344029745,43.600337043516966,0.7375936639786158,298.5096950531006,0.9166666666666666,0.7465251139319726,0.8710447035071708,91.0
20260704T100200-ea94a2a,lightgbm,all_chargeability,F2B,FAD,0.06886684257914376,0.24238140654835594,27.87092837360122,69.72587952071359,0.0783671407101815,0.20703877859351455,31.71577037334464,45.44813993702394,0.7933791780043304,321.08651152190276,0.9166666666666666,0.7428495800737731,0.8453269438226134,51.7
20260704T100200-ea94a2a,catboost,all_chargeability,F2B,FAD,0.07247738221417728,0.2490358623633567,29.332140878623818,68.32125527951176,0.07984317946543308,0.21109884935070997,32.31313434247098,42.41371229492917,0.6557444070999907,265.38468611610733,0.9583333333333334,0.781795577178868,0.8612486084212357,37.6
20260704T100200-ea94a2a,xgboost,all_chargeability,F3,FAD,0.07994889307512848,0.17870350746309283,18.963055828242627,44.77924726548348,0.1542903672628622,0.27664922269741254,36.59608952204386,61.69870291868367,2.0576524587706224,488.054017384847,0.875,0.8077197061400538,1.558787937047367,90.1
20260704T100200-ea94a2a,lightgbm,all_chargeability,F3,FAD,0.07942914750793939,0.17828214451273436,18.83977752096417,45.05007038334987,0.15158986133740152,0.27179911689163583,35.9555572687594,62.05240522740342,2.102683353982463,498.7348829610025,0.8333333333333334,0.8024687424224816,1.5315048594631304,52.1
20260704T100200-ea94a2a,catboost,all_chargeability,F3,FAD,0.07950868698712346,0.17664533276585961,18.85864346802487,44.10307989905225,0.15011677506997584,0.2698990898162024,35.606156344561974,60.197804283856584,2.0320839677612597,481.9894340766223,0.9166666666666666,0.8032723258403623,1.5166223418787288,32.1
20260704T100200-ea94a2a,xgboost,all_chargeability,F4,FAD,0.08749692496638892,0.2905594352869197,29.26236091771172,104.55489275123566,0.08961089324510475,0.24819693618027389,29.969353795051575,45.25276887327147,1.0359711629619974,346.46888542175293,0.9166666666666666,0.7661671409576409,0.784678111860916,88.5
20260704T100200-ea94a2a,lightgbm,all_chargeability,F4,FAD,0.08889314976753832,0.2969267993092995,29.729312574232093,104.56355584323346,0.07133946962274625,0.19734933603136492,23.85868198889102,45.795801966458946,1.1679678173095471,390.61367954945734,0.875,0.7783931884952169,0.6246843246124397,54.5
20260704T100200-ea94a2a,catboost,all_chargeability,F4,FAD,0.09294053610807876,0.30792459937489197,31.08291534273861,105.49662257026374,0.09224348973910863,0.2553688349140432,30.849796036739917,49.70190492214151,1.2016917879313453,401.89228162938707,0.875,0.8138341416724182,0.8077304526132438,36.6
20260704T100200-ea94a2a,xgboost,china,F1,FAD,0.08401041970843363,0.2289538184916555,28.439222348832537,56.32342284383746,0.1353382168142202,0.3003003095807809,45.81471743186315,60.15645218846036,0.9082919774889477,307.4751631418864,0.9166666666666666,0.6398209816005013,1.0307320333675587,71.3
20260704T100200-ea94a2a,lightgbm,china,F1,FAD,0.07939673175099123,0.21733928106247763,26.877395873911784,57.20657116339621,0.12837433994591388,0.2846012247220938,43.4573045852782,63.18881257397084,1.0181608923342849,344.6680079027586,0.9166666666666666,0.6046832645414246,0.9776953440010672,41.0
20260704T100200-ea94a2a,catboost,china,F1,FAD,0.07812624229851906,0.21242149342310582,26.44730955657042,55.43900536568971,0.12908169811615686,0.2862833115866537,43.696759599949246,58.28540326870536,0.9234116091974819,312.59346357990097,0.9166666666666666,0.5950072527869895,0.9830825638292591,29.1
20260704T100200-ea94a2a,xgboost,china,F2A,FAD,0.12325350723262203,0.4668524881843569,64.88386760573673,163.66325364503535,0.1242384156041227,0.37048363221927577,65.40234911441803,118.5289197183969,1.76261356997139,927.8858515421549,0.9583333333333334,0.7917830359092122,0.7981101073085468,70.0
20260704T100200-ea94a2a,lightgbm,china,F2A,FAD,0.12136964970087032,0.4620354284620043,63.89215576383714,163.83397558751753,0.12063353786979711,0.35965716818234394,63.50464725667371,119.28733647763157,1.769150863232682,931.3272535759728,0.9583333333333334,0.7796810968309543,0.77495229946476,45.5
20260704T100200-ea94a2a,catboost,china,F2A,FAD,0.12742859320353972,0.480319844872969,67.08174198239294,166.88349942135983,0.123625379379486,0.36829346640174243,65.07963082323158,120.9760451148654,1.8045406174906817,949.9573451768701,0.9583333333333334,0.818603873055826,0.7941719501399311,28.9
20260704T100200-ea94a2a,xgboost,china,F2B,FAD,0.07353926860944296,0.2518771130977506,30.533636235642707,75.11076756484957,0.08022990744147483,0.21754553630475754,33.31160147984823,43.78510267939309,0.6749577004017623,280.24364789326984,0.9166666666666666,0.7821424060361678,0.8533021068729595,73.8
20260704T100200-ea94a2a,lightgbm,china,F2B,FAD,0.07430884050799554,0.25473204168893426,30.85316386831976,75.93115794074863,0.07735705343478418,0.2096874308618028,32.11878734316891,44.974395891402814,0.7184678049463535,298.3091213452147,0.9166666666666666,0.7903273503214914,0.8227472619925041,44.7
20260704T100200-ea94a2a,catboost,china,F2B,FAD,0.07911591698680344,0.26900937209900905,32.84907064487951,74.21440878195237,0.07834619911039542,0.21254476171196912,32.529482401935034,41.71894131614313,0.6390114045487123,265.31868137742276,0.9583333333333334,0.8414540263712977,0.8332675295076954,30.7
20260704T100200-ea94a2a,xgboost,china,F3,FAD,0.08083382728931555,0.1755580761279173,19.194590387673212,47.79073494402991,0.15467493390789955,0.2776634891560201,36.72870751221975,61.74945372824735,2.0248272715672706,480.8102175394694,0.9166666666666666,0.8013441838921556,1.533366201223804,73.7
