number,value,datetime_start,datetime_complete,duration,params_decoder_output_dim,params_dropout,params_hidden_size,params_input_size,params_learning_rate,params_scaler_type,user_attrs_ALL_PARAMS,user_attrs_METRICS,state
12,83.90477752685547,2026-07-04 04:33:11.665707,2026-07-04 04:33:16.467236,0 days 00:00:04.801529,8,0.16932343065863092,128,18,0.008598406678457704,standard,"{'input_size': 18, 'learning_rate': 0.008598406678457704, 'scaler_type': 'standard', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 128, 'decoder_output_dim': 8, 'dropout': 0.16932343065863092, 'h': 1}","{'loss': 83.90477752685547, 'train_loss': 2.273350238800049}",COMPLETE
13,62.47751998901367,2026-07-04 04:33:16.467420,2026-07-04 04:33:25.659850,0 days 00:00:09.192430,32,0.24772070385340766,32,18,0.0017426080126272247,robust,"{'input_size': 18, 'learning_rate': 0.0017426080126272247, 'scaler_type': 'robust', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 32, 'decoder_output_dim': 32, 'dropout': 0.24772070385340766, 'h': 1}","{'loss': 62.47751998901367, 'train_loss': 2.6504881381988525}",COMPLETE
14,62.436073303222656,2026-07-04 04:33:25.660078,2026-07-04 04:33:34.769068,0 days 00:00:09.108990,16,0.1818886524295624,128,18,0.0028444570904036736,robust,"{'input_size': 18, 'learning_rate': 0.0028444570904036736, 'scaler_type': 'robust', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 128, 'decoder_output_dim': 16, 'dropout': 0.1818886524295624, 'h': 1}","{'loss': 62.436073303222656, 'train_loss': 2.658318042755127}",COMPLETE
15,65.2528076171875,2026-07-04 04:33:34.769493,2026-07-04 04:33:44.541102,0 days 00:00:09.771609,32,0.1506828089903141,64,36,0.0007469841098062355,robust,"{'input_size': 36, 'learning_rate': 0.0007469841098062355, 'scaler_type': 'robust', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 64, 'decoder_output_dim': 32, 'dropout': 0.1506828089903141, 'h': 1}","{'loss': 65.2528076171875, 'train_loss': 5.302402019500732}",COMPLETE
16,62.97981262207031,2026-07-04 04:33:44.541275,2026-07-04 04:33:52.994082,0 days 00:00:08.452807,32,0.2079598540306237,128,18,0.007258972430681319,robust,"{'input_size': 18, 'learning_rate': 0.007258972430681319, 'scaler_type': 'robust', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 128, 'decoder_output_dim': 32, 'dropout': 0.2079598540306237, 'h': 1}","{'loss': 62.97981262207031, 'train_loss': 4.402226448059082}",COMPLETE
17,61.988861083984375,2026-07-04 04:33:52.994362,2026-07-04 04:34:20.440169,0 days 00:00:27.445807,8,0.09552511647033511,128,18,0.00019855081598947516,robust,"{'input_size': 18, 'learning_rate': 0.00019855081598947516, 'scaler_type': 'robust', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 128, 'decoder_output_dim': 8, 'dropout': 0.09552511647033511, 'h': 1}","{'loss': 61.988861083984375, 'train_loss': 2.839446544647217}",COMPLETE
18,62.04495620727539,2026-07-04 04:34:20.440586,2026-07-04 04:34:42.656378,0 days 00:00:22.215792,8,0.0033101506042974294,128,18,0.00024341978300878046,robust,"{'input_size': 18, 'learning_rate': 0.00024341978300878046, 'scaler_type': 'robust', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 128, 'decoder_output_dim': 8, 'dropout': 0.0033101506042974294, 'h': 1}","{'loss': 62.04495620727539, 'train_loss': 2.8103151321411133}",COMPLETE
19,63.01191329956055,2026-07-04 04:34:42.656562,2026-07-04 04:35:02.094497,0 days 00:00:19.437935,8,0.1441649605718806,128,24,0.0004013618863311768,robust,"{'input_size': 24, 'learning_rate': 0.0004013618863311768, 'scaler_type': 'robust', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 128, 'decoder_output_dim': 8, 'dropout': 0.1441649605718806, 'h': 1}","{'loss': 63.01191329956055, 'train_loss': 4.549705505371094}",COMPLETE
20,62.33870315551758,2026-07-04 04:35:02.094764,2026-07-04 04:35:07.534819,0 days 00:00:05.440055,8,0.26827370143781604,64,18,0.0065552355788966125,robust,"{'input_size': 18, 'learning_rate': 0.0065552355788966125, 'scaler_type': 'robust', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 64, 'decoder_output_dim': 8, 'dropout': 0.26827370143781604, 'h': 1}","{'loss': 62.33870315551758, 'train_loss': 6.158531665802002}",COMPLETE
21,61.9222526550293,2026-07-04 04:35:07.535110,2026-07-04 04:35:41.702309,0 days 00:00:34.167199,8,0.029357787631012336,128,18,0.00015195772883591906,robust,"{'input_size': 18, 'learning_rate': 0.00015195772883591906, 'scaler_type': 'robust', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 128, 'decoder_output_dim': 8, 'dropout': 0.029357787631012336, 'h': 1}","{'loss': 61.9222526550293, 'train_loss': 2.8531832695007324}",COMPLETE
