number,value,datetime_start,datetime_complete,duration,params_depth,params_l2_leaf_reg,params_lags,params_learning_rate,params_n_estimators,params_subsample,state
118,0.09246207091346706,2026-07-06 04:01:52.286435,2026-07-06 04:01:59.129470,0 days 00:00:06.843035,10,1.0334405813691454,18,0.0053175419145849185,146,0.7155555546386124,COMPLETE
119,0.09180062244504635,2026-07-06 04:01:59.206220,2026-07-06 04:02:03.349959,0 days 00:00:04.143739,10,1.0122565098485494,12,0.004323494195482125,100,0.7136101750754544,COMPLETE
120,0.11155636896980056,2026-07-06 04:02:03.421135,2026-07-06 04:02:07.723396,0 days 00:00:04.302261,3,3.1875484270017984,30,0.011014269942371552,793,0.9215703428599995,COMPLETE
121,0.10103643277958752,2026-07-06 04:02:07.793274,2026-07-06 04:02:13.970923,0 days 00:00:06.177649,3,15.656677914023618,36,0.006611487195387032,1240,0.7126818524853603,COMPLETE
122,0.1014108746965734,2026-07-06 04:02:14.036672,2026-07-06 04:02:17.247989,0 days 00:00:03.211317,3,3.352583334865417,24,0.006645110790876311,650,0.5650262214635265,COMPLETE
123,0.09159643223908293,2026-07-06 04:02:17.311616,2026-07-06 04:02:23.572402,0 days 00:00:06.260786,9,1.3532209198248222,12,0.0037313193936412306,259,0.6106750614120365,COMPLETE
124,0.0921445973846057,2026-07-06 04:02:23.648026,2026-07-06 04:02:32.130667,0 days 00:00:08.482641,9,2.090380332926308,12,0.0031260500526969015,365,0.7213961969035888,COMPLETE
125,0.09350234351935985,2026-07-06 04:02:32.200864,2026-07-06 04:02:38.325029,0 days 00:00:06.124165,8,1.4057871174679122,12,0.003062857290070934,383,0.6438543026130973,COMPLETE
126,0.09073013586810849,2026-07-06 04:02:38.385987,2026-07-06 04:02:42.071323,0 days 00:00:03.685336,9,1.3804752178450908,12,0.004638146995911278,141,0.8411854808164292,COMPLETE
127,0.09238136230379325,2026-07-06 04:02:42.135982,2026-07-06 04:02:44.245869,0 days 00:00:02.109887,7,1.097585708864176,12,0.0037601489636371103,124,0.9231297232372367,COMPLETE
128,0.09906075096894422,2026-07-06 04:02:44.306963,2026-07-06 04:02:47.614763,0 days 00:00:03.307800,3,1.6440816512233316,18,0.003802252564369471,776,0.7740001862169713,COMPLETE
129,0.09117283987145029,2026-07-06 04:02:47.678449,2026-07-06 04:02:51.105723,0 days 00:00:03.427274,9,1.336997369222705,12,0.005849605907368282,124,0.7709753466488558,COMPLETE
130,0.09891319529976254,2026-07-06 04:02:51.167645,2026-07-06 04:03:41.815767,0 days 00:00:50.648122,9,6.150761305673654,36,0.007782234476402409,1271,0.6258578670319802,COMPLETE
131,0.09910229567020186,2026-07-06 04:03:41.882798,2026-07-06 04:03:47.408586,0 days 00:00:05.525788,4,22.448351191824436,30,0.008694236707201135,832,0.9147381584549878,COMPLETE
132,0.15743617806475824,2026-07-06 04:03:47.473018,2026-07-06 04:03:52.976775,0 days 00:00:05.503757,3,1.6485595474853538,24,0.053556463170435116,1272,0.5729226919680039,COMPLETE
133,0.09969257964644006,2026-07-06 04:03:53.043972,2026-07-06 04:04:02.201308,0 days 00:00:09.157336,9,2.111858544044173,18,0.007991145573647756,334,0.8569023149766718,COMPLETE
134,0.10488216996127805,2026-07-06 04:04:02.272866,2026-07-06 04:04:08.899421,0 days 00:00:06.626555,8,1.2554994273275595,12,0.0073575422613729275,424,0.7028208741002796,COMPLETE
135,0.09076826555645924,2026-07-06 04:04:08.964667,2026-07-06 04:04:15.112136,0 days 00:00:06.147469,10,1.0463821693803694,12,0.00331424297433706,176,0.8467191763409696,COMPLETE
136,0.09737345802112658,2026-07-06 04:04:15.175584,2026-07-06 04:04:46.640962,0 days 00:00:31.465378,8,17.626957104816572,36,0.017232716260725763,1219,0.8758971115373453,COMPLETE
137,0.09456453477735757,2026-07-06 04:04:46.706597,2026-07-06 04:04:55.162264,0 days 00:00:08.455667,9,1.0088352828023543,12,0.004394458847237732,376,0.8534643508195037,COMPLETE
138,0.09321521119178212,2026-07-06 04:04:55.231025,2026-07-06 04:05:00.793889,0 days 00:00:05.562864,9,1.1521593945972017,18,0.00306435496651849,178,0.8276830121892753,COMPLETE
139,0.09150574077005164,2026-07-06 04:05:00.864493,2026-07-06 04:05:04.988775,0 days 00:00:04.124282,10,1.1757545198881254,12,0.004893642203830068,104,0.9009826055085906,COMPLETE
140,0.09293458808284258,2026-07-06 04:05:05.055919,2026-07-06 04:05:15.496139,0 days 00:00:10.440220,10,2.2432453287177907,12,0.005033423709523969,319,0.8623375937082544,COMPLETE
141,0.09893003105102682,2026-07-06 04:05:15.564218,2026-07-06 04:05:36.177406,0 days 00:00:20.613188,8,14.247106242467122,24,0.07613777558042582,989,0.7446695534926158,COMPLETE
