number,value,datetime_start,datetime_complete,duration,params_dropout,params_hidden_size,params_input_size,params_learning_rate,params_scaler_type,user_attrs_ALL_PARAMS,user_attrs_METRICS,state
16,68.1922607421875,2026-07-04 04:36:00.122010,2026-07-04 04:36:12.218533,0 days 00:00:12.096523,0.08458542187565121,8,36,0.0001848098880091192,standard,"{'input_size': 36, 'learning_rate': 0.0001848098880091192, 'scaler_type': 'standard', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 8, 'dropout': 0.08458542187565121, 'h': 1}","{'loss': 68.1922607421875, 'train_loss': 3.4064269065856934}",COMPLETE
17,66.02041625976562,2026-07-04 04:36:12.218868,2026-07-04 04:36:22.752896,0 days 00:00:10.534028,0.015906036119344935,16,36,0.0005526659208380447,robust,"{'input_size': 36, 'learning_rate': 0.0005526659208380447, 'scaler_type': 'robust', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 16, 'dropout': 0.015906036119344935, 'h': 1}","{'loss': 66.02041625976562, 'train_loss': 2.672189235687256}",COMPLETE
18,62.46173858642578,2026-07-04 04:36:22.753062,2026-07-04 04:36:32.228773,0 days 00:00:09.475711,0.06840097918291466,32,36,0.00014220625876755746,robust,"{'input_size': 36, 'learning_rate': 0.00014220625876755746, 'scaler_type': 'robust', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 32, 'dropout': 0.06840097918291466, 'h': 1}","{'loss': 62.46173858642578, 'train_loss': 3.1116552352905273}",COMPLETE
19,61.719608306884766,2026-07-04 04:36:32.228967,2026-07-04 04:36:38.593394,0 days 00:00:06.364427,0.13331803655117647,8,36,0.000261423734167944,robust,"{'input_size': 36, 'learning_rate': 0.000261423734167944, 'scaler_type': 'robust', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 8, 'dropout': 0.13331803655117647, 'h': 1}","{'loss': 61.719608306884766, 'train_loss': 3.045271873474121}",COMPLETE
20,62.46584701538086,2026-07-04 04:36:38.593623,2026-07-04 04:36:44.966143,0 days 00:00:06.372520,0.07793533520292494,8,24,0.0002710325248774203,robust,"{'input_size': 24, 'learning_rate': 0.0002710325248774203, 'scaler_type': 'robust', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 8, 'dropout': 0.07793533520292494, 'h': 1}","{'loss': 62.46584701538086, 'train_loss': 5.696751594543457}",COMPLETE
21,61.70304870605469,2026-07-04 04:36:44.966363,2026-07-04 04:36:51.996592,0 days 00:00:07.030229,0.17946471840611872,8,36,0.00022051716383926544,robust,"{'input_size': 36, 'learning_rate': 0.00022051716383926544, 'scaler_type': 'robust', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 8, 'dropout': 0.17946471840611872, 'h': 1}","{'loss': 61.70304870605469, 'train_loss': 3.1472043991088867}",COMPLETE
22,61.676002502441406,2026-07-04 04:36:51.996739,2026-07-04 04:36:59.916675,0 days 00:00:07.919936,0.2002502670682917,8,36,0.0001560885078625501,robust,"{'input_size': 36, 'learning_rate': 0.0001560885078625501, 'scaler_type': 'robust', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 8, 'dropout': 0.2002502670682917, 'h': 1}","{'loss': 61.676002502441406, 'train_loss': 4.492709159851074}",COMPLETE
23,61.66764450073242,2026-07-04 04:36:59.917064,2026-07-04 04:37:08.909286,0 days 00:00:08.992222,0.2560958108228333,8,36,0.00013610751868311827,robust,"{'input_size': 36, 'learning_rate': 0.00013610751868311827, 'scaler_type': 'robust', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 8, 'dropout': 0.2560958108228333, 'h': 1}","{'loss': 61.66764450073242, 'train_loss': 3.994032382965088}",COMPLETE
24,62.11739730834961,2026-07-04 04:37:08.909614,2026-07-04 04:37:14.847983,0 days 00:00:05.938369,0.2756286798584919,8,24,0.00027819783470847995,robust,"{'input_size': 24, 'learning_rate': 0.00027819783470847995, 'scaler_type': 'robust', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 8, 'dropout': 0.2756286798584919, 'h': 1}","{'loss': 62.11739730834961, 'train_loss': 5.720995903015137}",COMPLETE
25,68.01559448242188,2026-07-04 04:37:14.848360,2026-07-04 04:37:26.767400,0 days 00:00:11.919040,0.24098087337686486,8,36,0.00022599725542895346,standard,"{'input_size': 36, 'learning_rate': 0.00022599725542895346, 'scaler_type': 'standard', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 8, 'dropout': 0.24098087337686486, 'h': 1}","{'loss': 68.01559448242188, 'train_loss': 0.6683622598648071}",COMPLETE
26,61.67320251464844,2026-07-04 04:37:26.767602,2026-07-04 04:37:35.950045,0 days 00:00:09.182443,0.28106945444199155,8,36,0.0001698844254339733,robust,"{'input_size': 36, 'learning_rate': 0.0001698844254339733, 'scaler_type': 'robust', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 8, 'dropout': 0.28106945444199155, 'h': 1}","{'loss': 61.67320251464844, 'train_loss': 3.99021053314209}",COMPLETE
27,61.865821838378906,2026-07-04 04:37:35.950373,2026-07-04 04:37:56.952367,0 days 00:00:21.001994,0.28685665275670486,16,36,0.0001627470283017551,robust,"{'input_size': 36, 'learning_rate': 0.0001627470283017551, 'scaler_type': 'robust', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 16, 'dropout': 0.28685665275670486, 'h': 1}","{'loss': 61.865821838378906, 'train_loss': 5.317258834838867}",COMPLETE
28,61.67090606689453,2026-07-04 04:37:56.952551,2026-07-04 04:38:05.862856,0 days 00:00:08.910305,0.2827333408212523,8,36,0.0001592650884038138,robust,"{'input_size': 36, 'learning_rate': 0.0001592650884038138, 'scaler_type': 'robust', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 8, 'dropout': 0.2827333408212523, 'h': 1}","{'loss': 61.67090606689453, 'train_loss': 3.994188070297241}",COMPLETE
29,61.66813278198242,2026-07-04 04:38:05.863268,2026-07-04 04:38:14.108350,0 days 00:00:08.245082,0.2835711954633789,8,36,0.00015260604684956916,robust,"{'input_size': 36, 'learning_rate': 0.00015260604684956916, 'scaler_type': 'robust', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 8, 'dropout': 0.2835711954633789, 'h': 1}","{'loss': 61.66813278198242, 'train_loss': 3.9956440925598145}",COMPLETE
30,60.873451232910156,2026-07-04 04:38:14.108561,2026-07-04 04:38:58.995547,0 days 00:00:44.886986,0.2566427882241264,8,18,0.00013075994038638862,robust,"{'input_size': 18, 'learning_rate': 0.00013075994038638862, 'scaler_type': 'robust', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 8, 'dropout': 0.2566427882241264, 'h': 1}","{'loss': 60.873451232910156, 'train_loss': 5.501608848571777}",COMPLETE
31,61.29471969604492,2026-07-04 04:38:58.995749,2026-07-04 04:39:33.774961,0 days 00:00:34.779212,0.27679643413914556,8,18,0.0002668593303004991,robust,"{'input_size': 18, 'learning_rate': 0.0002668593303004991, 'scaler_type': 'robust', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 8, 'dropout': 0.27679643413914556, 'h': 1}","{'loss': 61.29471969604492, 'train_loss': 4.459836006164551}",COMPLETE
32,62.104881286621094,2026-07-04 04:39:33.775298,2026-07-04 04:39:54.366237,0 days 00:00:20.590939,0.2837339495917175,8,18,0.00045361243984103246,robust,"{'input_size': 18, 'learning_rate': 0.00045361243984103246, 'scaler_type': 'robust', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 8, 'dropout': 0.2837339495917175, 'h': 1}","{'loss': 62.104881286621094, 'train_loss': 4.4789252281188965}",COMPLETE
33,72.50375366210938,2026-07-04 04:39:54.366417,2026-07-04 04:39:58.835288,0 days 00:00:04.468871,0.21964591944143255,8,18,0.000126289617579469,standard,"{'input_size': 18, 'learning_rate': 0.000126289617579469, 'scaler_type': 'standard', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 8, 'dropout': 0.21964591944143255, 'h': 1}","{'loss': 72.50375366210938, 'train_loss': 3.5334584712982178}",COMPLETE
34,60.76596450805664,2026-07-04 04:39:58.835468,2026-07-04 04:40:37.630325,0 days 00:00:38.794857,0.23753829523172015,8,18,0.00015647433868206704,robust,"{'input_size': 18, 'learning_rate': 0.00015647433868206704, 'scaler_type': 'robust', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 8, 'dropout': 0.23753829523172015, 'h': 1}","{'loss': 60.76596450805664, 'train_loss': 4.27382755279541}",COMPLETE
35,61.043827056884766,2026-07-04 04:40:37.630820,2026-07-04 04:41:24.764399,0 days 00:00:47.133579,0.2871469496977936,8,18,0.00011360612719712796,robust,"{'input_size': 18, 'learning_rate': 0.00011360612719712796, 'scaler_type': 'robust', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 8, 'dropout': 0.2871469496977936, 'h': 1}","{'loss': 61.043827056884766, 'train_loss': 5.542817115783691}",COMPLETE
36,60.995025634765625,2026-07-04 04:41:24.764625,2026-07-04 04:42:15.938779,0 days 00:00:51.174154,0.26265979442757514,8,18,0.00011568271692429027,robust,"{'input_size': 18, 'learning_rate': 0.00011568271692429027, 'scaler_type': 'robust', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 8, 'dropout': 0.26265979442757514, 'h': 1}","{'loss': 60.995025634765625, 'train_loss': 5.523341178894043}",COMPLETE
37,62.793861389160156,2026-07-04 04:42:15.938998,2026-07-04 04:42:23.225520,0 days 00:00:07.286522,0.26276566424215475,32,18,0.00011933926198036246,robust,"{'input_size': 18, 'learning_rate': 0.00011933926198036246, 'scaler_type': 'robust', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 32, 'dropout': 0.26276566424215475, 'h': 1}","{'loss': 62.793861389160156, 'train_loss': 6.287016868591309}",COMPLETE
38,60.993099212646484,2026-07-04 04:42:23.225858,2026-07-04 04:43:15.219209,0 days 00:00:51.993351,0.2382555421532816,8,18,0.00010468811695424548,robust,"{'input_size': 18, 'learning_rate': 0.00010468811695424548, 'scaler_type': 'robust', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 8, 'dropout': 0.2382555421532816, 'h': 1}","{'loss': 60.993099212646484, 'train_loss': 5.532828330993652}",COMPLETE
39,60.923946380615234,2026-07-04 04:43:15.219563,2026-07-04 04:44:06.708303,0 days 00:00:51.488740,0.20531398639435894,8,18,0.000102241519546177,robust,"{'input_size': 18, 'learning_rate': 0.000102241519546177, 'scaler_type': 'robust', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 8, 'dropout': 0.20531398639435894, 'h': 1}","{'loss': 60.923946380615234, 'train_loss': 5.531136512756348}",COMPLETE
