unique_id,ds,y,AutoBiTCN
all_chargeability/family/F3,2025-09-01,13361.0,13358.608076334
all_chargeability/family/F3,2025-10-01,13399.0,13355.656832695007
all_chargeability/family/F3,2025-11-01,13399.0,13398.270904839039
all_chargeability/family/F3,2025-12-01,13399.0,13397.855164885521
all_chargeability/family/F3,2026-01-01,13399.0,13396.444264650345
all_chargeability/family/F3,2026-02-01,13399.0,13399.706589221954
all_chargeability/family/F3,2026-03-01,13399.0,13396.870746850967
all_chargeability/family/F3,2026-04-01,13504.0,13395.744623184204
all_chargeability/family/F3,2026-05-01,13559.0,13509.776476860046
all_chargeability/family/F3,2026-06-01,13559.0,13567.654592514038
all_chargeability/family/F3,2026-07-01,13619.0,13562.585004329681
all_chargeability/family/F4,2024-08-01,11900.0,11900.603486895561
all_chargeability/family/F4,2024-09-01,11900.0,11900.682895183563
all_chargeability/family/F4,2024-10-01,11900.0,11899.250848054886
all_chargeability/family/F4,2024-11-01,11900.0,11899.047311306
all_chargeability/family/F4,2024-12-01,11900.0,11899.335474133492
all_chargeability/family/F4,2025-01-01,11900.0,11899.474067151546
all_chargeability/family/F4,2025-02-01,11900.0,11899.699170440435
all_chargeability/family/F4,2025-03-01,11900.0,11899.802442729473
all_chargeability/family/F4,2025-04-01,11900.0,11899.611626148224
all_chargeability/family/F4,2025-05-01,12053.0,11899.585258096457
all_chargeability/family/F4,2025-06-01,12053.0,12059.718040466309
all_chargeability/family/F4,2025-07-01,12053.0,12058.529411792755
all_chargeability/family/F4,2025-08-01,12053.0,12055.276060581207
all_chargeability/family/F4,2025-09-01,12053.0,12054.893454432487
all_chargeability/family/F4,2025-10-01,12060.0,12050.990854978561
all_chargeability/family/F4,2025-11-01,12060.0,12057.636558055878
all_chargeability/family/F4,2025-12-01,12060.0,12060.372582405806
all_chargeability/family/F4,2026-01-01,12060.0,12061.024338722229
all_chargeability/family/F4,2026-02-01,12060.0,12060.7911388278
all_chargeability/family/F4,2026-03-01,12060.0,12060.478772610426
all_chargeability/family/F4,2026-04-01,12212.0,12060.024586688727
all_chargeability/family/F4,2026-05-01,12311.0,12220.678479194641
all_chargeability/family/F4,2026-06-01,12365.0,12324.64873790741
all_chargeability/family/F4,2026-07-01,12419.0,12376.179812431335
china/family/F1,2024-08-01,14904.0,14911.145458221436
china/family/F1,2024-09-01,14904.0,14910.206599235535
china/family/F1,2024-10-01,14904.0,14903.095079123974
china/family/F1,2024-11-01,14904.0,14903.042482197285
china/family/F1,2024-12-01,14904.0,14901.916621208191
china/family/F1,2025-01-01,14935.0,14902.140672206879
china/family/F1,2025-02-01,14935.0,14936.948394060135
china/family/F1,2025-03-01,14935.0,14937.161257266998
china/family/F1,2025-04-01,15049.0,14934.93183413893
china/family/F1,2025-05-01,15049.0,15056.732012748718
china/family/F1,2025-06-01,15134.0,15052.807747602463
china/family/F1,2025-07-01,15171.0,15139.368486404419
china/family/F1,2025-08-01,15171.0,15179.261629104614
china/family/F1,2025-09-01,15171.0,15170.035816848278
china/family/F1,2025-10-01,15287.0,15167.836319446564
china/family/F1,2025-11-01,15287.0,15291.152992248535
china/family/F1,2025-12-01,15287.0,15288.85363805294
china/family/F1,2026-01-01,15287.0,15285.19736790657
china/family/F1,2026-02-01,15287.0,15288.738369822502
china/family/F1,2026-03-01,15287.0,15284.650430440903
china/family/F1,2026-04-01,15461.0,15283.036487340927
china/family/F1,2026-05-01,15584.0,15468.531370162964
china/family/F1,2026-06-01,15584.0,15597.755306243896
china/family/F1,2026-07-01,15737.0,15590.98087978363
china/family/F2A,2024-08-01,17120.0,17176.303009033203
china/family/F2A,2024-09-01,17120.0,17136.70051383972
china/family/F2A,2024-10-01,17127.0,17123.690409183502
china/family/F2A,2024-11-01,17167.0,17126.66175341606
china/family/F2A,2024-12-01,17167.0,17173.421092510223
china/family/F2A,2025-01-01,17167.0,17176.409447669983
china/family/F2A,2025-02-01,17167.0,17172.562747001648
china/family/F2A,2025-03-01,17167.0,17171.399879455566
china/family/F2A,2025-04-01,17167.0,17156.54193687439
china/family/F2A,2025-05-01,17167.0,17158.763696670532
china/family/F2A,2025-06-01,17167.0,17160.33131504059
china/family/F2A,2025-07-01,17410.0,17160.68386554718
china/family/F2A,2025-08-01,17410.0,17420.1961479187
china/family/F2A,2025-09-01,17410.0,17418.258423805237
china/family/F2A,2025-10-01,17928.0,17410.342276990414
china/family/F2A,2025-11-01,17928.0,17956.070667266846
china/family/F2A,2025-12-01,17928.0,17941.228573799133
china/family/F2A,2026-01-01,17928.0,17929.44102358818
china/family/F2A,2026-02-01,17928.0,17934.866330623627
china/family/F2A,2026-03-01,17928.0,17923.716928958893
china/family/F2A,2026-04-01,17928.0,17918.16966342926
china/family/F2A,2026-05-01,18110.0,17926.208948731422
china/family/F2A,2026-06-01,18263.0,18124.355887413025
china/family/F2A,2026-07-01,18263.0,18285.94375228882
china/family/F2B,2024-08-01,15096.0,15098.988362073898
china/family/F2B,2024-09-01,15096.0,15098.697311878204
china/family/F2B,2024-10-01,15096.0,15094.811289072037
china/family/F2B,2024-11-01,15096.0,15094.953696250916
china/family/F2B,2024-12-01,15096.0,15094.967900276184
china/family/F2B,2025-01-01,15117.0,15095.440414965153
china/family/F2B,2025-02-01,15117.0,15118.514553308487
china/family/F2B,2025-03-01,15117.0,15118.330164551735
china/family/F2B,2025-04-01,15178.0,15116.765378132463
china/family/F2B,2025-05-01,15178.0,15182.587567329407
china/family/F2B,2025-06-01,15240.0,15179.952081084251
china/family/F2B,2025-07-01,15263.0,15243.71149468422
china/family/F2B,2025-08-01,15263.0,15268.353083133698
china/family/F2B,2025-09-01,15263.0,15262.451592504978
china/family/F2B,2025-10-01,15301.0,15261.144442677498
china/family/F2B,2025-11-01,15310.0,15301.751119315624
china/family/F2B,2025-12-01,15310.0,15310.998530566692
china/family/F2B,2026-01-01,15310.0,15309.398186087608
china/family/F2B,2026-02-01,15310.0,15310.736992657185
china/family/F2B,2026-03-01,15310.0,15309.094930231571
china/family/F2B,2026-04-01,15482.0,15307.88787651062
china/family/F2B,2026-05-01,15482.0,15488.898881912231
china/family/F2B,2026-06-01,15605.0,15487.755473136902
china/family/F2B,2026-07-01,15666.0,15613.370761871338
china/family/F3,2024-08-01,12874.0,12877.673887014389
china/family/F3,2024-09-01,12874.0,12875.730174541473
china/family/F3,2024-10-01,12874.0,12872.768374919891
china/family/F3,2024-11-01,12888.0,12870.981434106827
china/family/F3,2024-12-01,12888.0,12885.561141729355
china/family/F3,2025-01-01,12965.0,12886.435160636902
china/family/F3,2025-02-01,12965.0,12969.057444095612
china/family/F3,2025-03-01,12965.0,12968.359324455261
china/family/F3,2025-04-01,13239.0,12963.798142790794
china/family/F3,2025-05-01,13239.0,13252.002442359924
china/family/F3,2025-06-01,13321.0,13244.215926647186
china/family/F3,2025-07-01,13361.0,13324.387803077698
china/family/F3,2025-08-01,13361.0,13369.4915933609
china/family/F3,2025-09-01,13361.0,13358.608076334
china/family/F3,2025-10-01,13399.0,13355.656832695007
china/family/F3,2025-11-01,13399.0,13398.270904839039
china/family/F3,2025-12-01,13399.0,13397.855164885521
china/family/F3,2026-01-01,13399.0,13396.444264650345
china/family/F3,2026-02-01,13399.0,13399.706589221954
china/family/F3,2026-03-01,13399.0,13396.870746850967
china/family/F3,2026-04-01,13504.0,13395.744623184204
china/family/F3,2026-05-01,13559.0,13509.776476860046
china/family/F3,2026-06-01,13559.0,13567.654592514038
china/family/F3,2026-07-01,13619.0,13562.585004329681
china/family/F4,2024-08-01,11900.0,11900.603486895561
china/family/F4,2024-09-01,11900.0,11900.682895183563
china/family/F4,2024-10-01,11900.0,11899.250848054886
china/family/F4,2024-11-01,11900.0,11899.047311306
china/family/F4,2024-12-01,11900.0,11899.335474133492
china/family/F4,2025-01-01,11900.0,11899.474067151546
china/family/F4,2025-02-01,11900.0,11899.699170440435
