unique_id,ds,y,control-patchtst
all_chargeability/family/F2A,2025-07-01,17410.0,17141.912929534912
all_chargeability/family/F2A,2025-08-01,17410.0,17464.759742736816
all_chargeability/family/F2A,2025-09-01,17410.0,17412.625589370728
all_chargeability/family/F2A,2025-10-01,17928.0,17418.322918891907
all_chargeability/family/F2A,2025-11-01,17928.0,18028.764030456543
all_chargeability/family/F2A,2025-12-01,17928.0,17932.144205093384
all_chargeability/family/F2A,2026-01-01,17928.0,17932.80722475052
all_chargeability/family/F2A,2026-02-01,17928.0,17927.944903999567
all_chargeability/family/F2A,2026-03-01,17928.0,17921.87303876877
all_chargeability/family/F2A,2026-04-01,17928.0,17922.797178268433
all_chargeability/family/F2A,2026-05-01,18110.0,17936.72983264923
all_chargeability/family/F2A,2026-06-01,18263.0,18234.541870117188
all_chargeability/family/F2A,2026-07-01,18263.0,18383.692825317383
all_chargeability/family/F2A,2026-08-01,18830.0,18285.5115070343
all_chargeability/family/F2A,2026-09-01,18861.0,18870.35245513916
china/employment/EB1,2024-10-01,17478.0,17478.283665180206
china/employment/EB1,2024-11-01,17478.0,17483.042759895325
china/employment/EB1,2024-12-01,17478.0,17483.26331949234
china/employment/EB1,2025-01-01,17478.0,17492.74178314209
china/employment/EB1,2025-02-01,17478.0,17479.079159140587
china/employment/EB1,2025-03-01,17478.0,17479.382425785065
china/employment/EB1,2025-04-01,17478.0,17483.110124588013
china/employment/EB1,2025-05-01,17478.0,17484.24183511734
china/employment/EB1,2025-06-01,17478.0,17476.88375353813
china/employment/EB1,2025-07-01,17485.0,17486.9853515625
china/employment/EB1,2025-08-01,17485.0,17490.3219499588
china/employment/EB1,2025-09-01,17485.0,17483.07316493988
china/employment/EB1,2025-10-01,17522.0,17483.779146790504
china/employment/EB1,2025-11-01,17522.0,17544.440942764282
china/employment/EB1,2025-12-01,17553.0,17522.53351044655
china/employment/EB1,2026-01-01,17563.0,17571.377410888672
china/employment/EB1,2026-02-01,17563.0,17571.208342552185
china/employment/EB1,2026-03-01,17591.0,17567.963440418243
china/employment/EB1,2026-04-01,17622.0,17610.716913223267
china/employment/EB1,2026-05-01,17622.0,17640.46133995056
china/employment/EB1,2026-06-01,17622.0,17628.466351032257
china/employment/EB1,2026-07-01,17683.0,17628.76916694641
china/employment/EB1,2026-08-01,17713.0,17696.44238090515
china/employment/EB1,2026-09-01,17713.0,17733.535120010376
china/employment/EB2,2024-10-01,16517.0,16510.488786697388
china/employment/EB2,2024-11-01,16517.0,16532.82715988159
china/employment/EB2,2024-12-01,16517.0,16523.464894771576
china/employment/EB2,2025-01-01,16548.0,16534.107982635498
china/employment/EB2,2025-02-01,16548.0,16566.35941696167
china/employment/EB2,2025-03-01,16564.0,16551.24887251854
china/employment/EB2,2025-04-01,16710.0,16583.01832962036
china/employment/EB2,2025-05-01,16710.0,16714.143072128296
china/employment/EB2,2025-06-01,16771.0,16719.222509384155
china/employment/EB2,2025-07-01,16785.0,16797.892274856567
china/employment/EB2,2025-08-01,16785.0,16801.572820663452
china/employment/EB2,2025-09-01,16785.0,16788.712845802307
china/employment/EB2,2025-10-01,16892.0,16791.792690753937
