unique_id,ds,y,control-bitcn
all_chargeability/family/F2A,2025-07-01,17410.0,17173.90934896469
all_chargeability/family/F2A,2025-08-01,17410.0,17418.91757106781
all_chargeability/family/F2A,2025-09-01,17410.0,17410.587250232697
all_chargeability/family/F2A,2025-10-01,17928.0,17410.860139787197
all_chargeability/family/F2A,2025-11-01,17928.0,17928.318041861057
all_chargeability/family/F2A,2025-12-01,17928.0,17932.897824287415
all_chargeability/family/F2A,2026-01-01,17928.0,17932.949113845825
all_chargeability/family/F2A,2026-02-01,17928.0,17932.35414123535
all_chargeability/family/F2A,2026-03-01,17928.0,17930.95482993126
all_chargeability/family/F2A,2026-04-01,17928.0,17931.136357307434
all_chargeability/family/F2A,2026-05-01,18110.0,17930.1778383255
all_chargeability/family/F2A,2026-06-01,18263.0,18112.589111089706
all_chargeability/family/F2A,2026-07-01,18263.0,18264.43428313732
all_chargeability/family/F2A,2026-08-01,18830.0,18266.17539548874
all_chargeability/family/F2A,2026-09-01,18861.0,18832.19192290306
all_chargeability/family/F2B,2024-10-01,15096.0,15096.35560503602
all_chargeability/family/F2B,2024-11-01,15096.0,15096.280645012856
all_chargeability/family/F2B,2024-12-01,15096.0,15096.259517848492
all_chargeability/family/F2B,2025-01-01,15117.0,15096.286935329437
all_chargeability/family/F2B,2025-02-01,15117.0,15117.248835399747
all_chargeability/family/F2B,2025-03-01,15117.0,15117.346898883581
all_chargeability/family/F2B,2025-04-01,15178.0,15117.232422247529
all_chargeability/family/F2B,2025-05-01,15178.0,15178.447780698538
all_chargeability/family/F2B,2025-06-01,15240.0,15178.282890290022
all_chargeability/family/F2B,2025-07-01,15263.0,15240.431360840797
all_chargeability/family/F2B,2025-08-01,15263.0,15263.350400209427
all_chargeability/family/F2B,2025-09-01,15263.0,15263.371775180101
all_chargeability/family/F2B,2025-10-01,15301.0,15263.405384361744
all_chargeability/family/F2B,2025-11-01,15310.0,15301.431994378567
all_chargeability/family/F2B,2025-12-01,15310.0,15310.413521677256
all_chargeability/family/F2B,2026-01-01,15310.0,15310.499532580376
all_chargeability/family/F2B,2026-02-01,15310.0,15310.392447710037
all_chargeability/family/F2B,2026-03-01,15310.0,15310.375883668661
all_chargeability/family/F2B,2026-04-01,15482.0,15310.384331077337
all_chargeability/family/F2B,2026-05-01,15482.0,15482.555797278881
all_chargeability/family/F2B,2026-06-01,15605.0,15482.511567771435
all_chargeability/family/F2B,2026-07-01,15666.0,15605.685742080212
all_chargeability/family/F2B,2026-08-01,15706.0,15666.64546829462
all_chargeability/family/F2B,2026-09-01,16304.0,15706.68356102705
all_chargeability/family/F3,2024-10-01,12874.0,12874.505068600178
all_chargeability/family/F3,2024-11-01,12888.0,12874.49469280243
all_chargeability/family/F3,2024-12-01,12888.0,12888.42000925541
all_chargeability/family/F3,2025-01-01,12965.0,12888.574033915997
all_chargeability/family/F3,2025-02-01,12965.0,12965.436066448689
all_chargeability/family/F3,2025-03-01,12965.0,12965.632018387318
all_chargeability/family/F3,2025-04-01,13239.0,12965.531788349152
all_chargeability/family/F3,2025-05-01,13239.0,13239.878101170063
all_chargeability/family/F3,2025-06-01,13321.0,13239.722270011902
all_chargeability/family/F3,2025-07-01,13361.0,13321.951192080975
all_chargeability/family/F3,2025-08-01,13361.0,13361.859332740307
all_chargeability/family/F3,2025-09-01,13361.0,13361.862575650215
all_chargeability/family/F3,2025-10-01,13399.0,13361.844148516655
all_chargeability/family/F3,2025-11-01,13399.0,13400.050406694412
all_chargeability/family/F3,2025-12-01,13399.0,13399.65752530098
all_chargeability/family/F3,2026-01-01,13399.0,13399.903675854206
all_chargeability/family/F3,2026-02-01,13399.0,13399.829027175903
all_chargeability/family/F3,2026-03-01,13399.0,13399.631686329842
all_chargeability/family/F3,2026-04-01,13504.0,13399.984800696373
all_chargeability/family/F3,2026-05-01,13559.0,13504.724455058575
all_chargeability/family/F3,2026-06-01,13559.0,13559.877791285515
all_chargeability/family/F3,2026-07-01,13619.0,13559.675510048866
all_chargeability/family/F3,2026-08-01,13649.0,13619.815142393112
all_chargeability/family/F3,2026-09-01,14539.0,13649.72803157568
all_chargeability/family/F4,2024-10-01,11900.0,11900.136468484998
all_chargeability/family/F4,2024-11-01,11900.0,11900.123912602663
all_chargeability/family/F4,2024-12-01,11900.0,11900.124631747603
all_chargeability/family/F4,2025-01-01,11900.0,11900.14659127593
all_chargeability/family/F4,2025-02-01,11900.0,11900.102186955512
all_chargeability/family/F4,2025-03-01,11900.0,11900.17176514864
all_chargeability/family/F4,2025-04-01,11900.0,11900.08088811487
all_chargeability/family/F4,2025-05-01,12053.0,11900.142339125276
all_chargeability/family/F4,2025-06-01,12053.0,12053.369884997606
all_chargeability/family/F4,2025-07-01,12053.0,12053.277771234512
all_chargeability/family/F4,2025-08-01,12053.0,12053.450188159943
all_chargeability/family/F4,2025-09-01,12053.0,12053.300552904606
all_chargeability/family/F4,2025-10-01,12060.0,12053.368465542793
all_chargeability/family/F4,2025-11-01,12060.0,12060.31340187788
all_chargeability/family/F4,2025-12-01,12060.0,12060.30600938201
all_chargeability/family/F4,2026-01-01,12060.0,12060.297341257334
all_chargeability/family/F4,2026-02-01,12060.0,12060.259686678648
all_chargeability/family/F4,2026-03-01,12060.0,12060.389249414206
all_chargeability/family/F4,2026-04-01,12212.0,12060.274699002504
all_chargeability/family/F4,2026-05-01,12311.0,12212.555784881115
all_chargeability/family/F4,2026-06-01,12365.0,12311.52155470848
all_chargeability/family/F4,2026-07-01,12419.0,12365.617275178432
all_chargeability/family/F4,2026-08-01,12662.0,12419.624130785465
all_chargeability/family/F4,2026-09-01,13443.0,12662.873294830322
china/employment/EB1,2024-10-01,17478.0,17485.034072875977
china/employment/EB1,2024-11-01,17478.0,17491.9469499588
china/employment/EB1,2024-12-01,17478.0,17485.073232650757
china/employment/EB1,2025-01-01,17478.0,17478.2608936131
china/employment/EB1,2025-02-01,17478.0,17478.44648361206
china/employment/EB1,2025-03-01,17478.0,17478.405549764633
china/employment/EB1,2025-04-01,17478.0,17478.273712068796
china/employment/EB1,2025-05-01,17478.0,17479.0253970623
china/employment/EB1,2025-06-01,17478.0,17478.9201567173
china/employment/EB1,2025-07-01,17485.0,17478.91850990057
china/employment/EB1,2025-08-01,17485.0,17485.950698435307
china/employment/EB1,2025-09-01,17485.0,17485.845202863216
china/employment/EB1,2025-10-01,17522.0,17485.59338158369
china/employment/EB1,2025-11-01,17522.0,17522.822858572006
china/employment/EB1,2025-12-01,17553.0,17522.317791461945
china/employment/EB1,2026-01-01,17563.0,17553.764506459236
china/employment/EB1,2026-02-01,17563.0,17563.373354047537
china/employment/EB1,2026-03-01,17591.0,17563.38717779517
china/employment/EB1,2026-04-01,17622.0,17591.389095187187
china/employment/EB1,2026-05-01,17622.0,17622.389139205217
china/employment/EB1,2026-06-01,17622.0,17622.340432316065
china/employment/EB1,2026-07-01,17683.0,17622.28031229973
china/employment/EB1,2026-08-01,17713.0,17683.33171635866
china/employment/EB1,2026-09-01,17713.0,17713.360182344913
china/employment/EB2,2024-10-01,16517.0,16496.55341309309
china/employment/EB2,2024-11-01,16517.0,16517.48735320568
china/employment/EB2,2024-12-01,16517.0,16517.28602051735
china/employment/EB2,2025-01-01,16548.0,16517.355737566948
