unique_id,ds,y,deepar-robust
all_chargeability/family/F2A,2025-07-01,17410.0,17168.231704354286
all_chargeability/family/F2A,2025-08-01,17410.0,17469.039207458496
all_chargeability/family/F2A,2025-09-01,17410.0,17448.30711364746
all_chargeability/family/F2A,2025-10-01,17928.0,17418.86124420166
all_chargeability/family/F2A,2025-11-01,17928.0,17999.003463745117
all_chargeability/family/F2A,2025-12-01,17928.0,17938.419582366943
all_chargeability/family/F2A,2026-01-01,17928.0,17995.862579345703
all_chargeability/family/F2A,2026-02-01,17928.0,17923.9799118042
all_chargeability/family/F2A,2026-03-01,17928.0,17926.3775806427
all_chargeability/family/F2A,2026-04-01,17928.0,17914.01163673401
all_chargeability/family/F2A,2026-05-01,18110.0,17907.689796447754
all_chargeability/family/F2A,2026-06-01,18263.0,18161.73055267334
all_chargeability/family/F2A,2026-07-01,18263.0,18320.226795196533
all_chargeability/family/F2A,2026-08-01,18830.0,18319.83082962036
all_chargeability/family/F2A,2026-09-01,18861.0,19033.883697509766
all_chargeability/family/F2B,2024-10-01,15096.0,15091.725954055786
all_chargeability/family/F2B,2024-11-01,15096.0,15091.073431968689
all_chargeability/family/F2B,2024-12-01,15096.0,15093.841312408447
all_chargeability/family/F2B,2025-01-01,15117.0,15093.458034276962
all_chargeability/family/F2B,2025-02-01,15117.0,15124.054428100586
all_chargeability/family/F2B,2025-03-01,15117.0,15121.65167427063
all_chargeability/family/F2B,2025-04-01,15178.0,15117.45581316948
all_chargeability/family/F2B,2025-05-01,15178.0,15199.820375442505
all_chargeability/family/F2B,2025-06-01,15240.0,15187.601442337036
all_chargeability/family/F2B,2025-07-01,15263.0,15261.805263519287
all_chargeability/family/F2B,2025-08-01,15263.0,15286.796077728271
all_chargeability/family/F2B,2025-09-01,15263.0,15273.621395111084
all_chargeability/family/F2B,2025-10-01,15301.0,15260.167386054993
all_chargeability/family/F2B,2025-11-01,15310.0,15311.477558135986
all_chargeability/family/F2B,2025-12-01,15310.0,15317.942979335785
all_chargeability/family/F2B,2026-01-01,15310.0,15316.872085571289
all_chargeability/family/F2B,2026-02-01,15310.0,15312.52641248703
all_chargeability/family/F2B,2026-03-01,15310.0,15307.759806871414
all_chargeability/family/F2B,2026-04-01,15482.0,15308.003958463669
all_chargeability/family/F2B,2026-05-01,15482.0,15527.462577819824
all_chargeability/family/F2B,2026-06-01,15605.0,15515.068019866943
all_chargeability/family/F2B,2026-07-01,15666.0,15655.576072692871
all_chargeability/family/F2B,2026-08-01,15706.0,15709.062641143799
all_chargeability/family/F2B,2026-09-01,16304.0,15732.053802490234
all_chargeability/family/F3,2024-10-01,12874.0,12870.325713396072
all_chargeability/family/F3,2024-11-01,12888.0,12873.124299168587
all_chargeability/family/F3,2024-12-01,12888.0,12896.419818878174
all_chargeability/family/F3,2025-01-01,12965.0,12888.564836978912
all_chargeability/family/F3,2025-02-01,12965.0,12996.278173446655
all_chargeability/family/F3,2025-03-01,12965.0,12984.852764129639
all_chargeability/family/F3,2025-04-01,13239.0,12973.711832046509
all_chargeability/family/F3,2025-05-01,13239.0,13308.82878112793
all_chargeability/family/F3,2025-06-01,13321.0,13287.226295471191
all_chargeability/family/F3,2025-07-01,13361.0,13358.52407836914
all_chargeability/family/F3,2025-08-01,13361.0,13381.346073150635
all_chargeability/family/F3,2025-09-01,13361.0,13378.279455184937
all_chargeability/family/F3,2025-10-01,13399.0,13352.947122573853
all_chargeability/family/F3,2025-11-01,13399.0,13405.718729019165
all_chargeability/family/F3,2025-12-01,13399.0,13410.110997200012
all_chargeability/family/F3,2026-01-01,13399.0,13399.461901426315
all_chargeability/family/F3,2026-02-01,13399.0,13400.285772323608
all_chargeability/family/F3,2026-03-01,13399.0,13397.0844424963
all_chargeability/family/F3,2026-04-01,13504.0,13400.41633093357
all_chargeability/family/F3,2026-05-01,13559.0,13536.502388000488
all_chargeability/family/F3,2026-06-01,13559.0,13601.470920562744
all_chargeability/family/F3,2026-07-01,13619.0,13579.387004852295
all_chargeability/family/F3,2026-08-01,13649.0,13639.27026939392
all_chargeability/family/F3,2026-09-01,14539.0,13666.637424468994
all_chargeability/family/F4,2024-10-01,11900.0,11900.532083272934
all_chargeability/family/F4,2024-11-01,11900.0,11899.488286495209
all_chargeability/family/F4,2024-12-01,11900.0,11900.206964850426
all_chargeability/family/F4,2025-01-01,11900.0,11899.504898190498
all_chargeability/family/F4,2025-02-01,11900.0,11899.917251236737
all_chargeability/family/F4,2025-03-01,11900.0,11899.393459796906
all_chargeability/family/F4,2025-04-01,11900.0,11899.322572469711
all_chargeability/family/F4,2025-05-01,12053.0,11899.61051428318
all_chargeability/family/F4,2025-06-01,12053.0,12096.669082641602
all_chargeability/family/F4,2025-07-01,12053.0,12083.021228790283
all_chargeability/family/F4,2025-08-01,12053.0,12059.342361927032
all_chargeability/family/F4,2025-09-01,12053.0,12049.360576629639
all_chargeability/family/F4,2025-10-01,12060.0,12047.488590240479
all_chargeability/family/F4,2025-11-01,12060.0,12062.12577342987
all_chargeability/family/F4,2025-12-01,12060.0,12060.82236033678
all_chargeability/family/F4,2026-01-01,12060.0,12060.0832060799
all_chargeability/family/F4,2026-02-01,12060.0,12058.809261918068
all_chargeability/family/F4,2026-03-01,12060.0,12059.72206363082
all_chargeability/family/F4,2026-04-01,12212.0,12062.594801902771
all_chargeability/family/F4,2026-05-01,12311.0,12253.026428222656
all_chargeability/family/F4,2026-06-01,12365.0,12378.252548217773
all_chargeability/family/F4,2026-07-01,12419.0,12419.607570648193
all_chargeability/family/F4,2026-08-01,12662.0,12452.488807678223
all_chargeability/family/F4,2026-09-01,13443.0,12734.340911865234
china/employment/EB1,2024-10-01,17478.0,17487.268102645874
china/employment/EB1,2024-11-01,17478.0,17484.580183029175
china/employment/EB1,2024-12-01,17478.0,17484.54826116562
china/employment/EB1,2025-01-01,17478.0,17479.25874733925
china/employment/EB1,2025-02-01,17478.0,17477.48251193762
china/employment/EB1,2025-03-01,17478.0,17472.30210876465
china/employment/EB1,2025-04-01,17478.0,17474.313113689423
china/employment/EB1,2025-05-01,17478.0,17478.309715390205
china/employment/EB1,2025-06-01,17478.0,17476.49397134781
china/employment/EB1,2025-07-01,17485.0,17479.727712869644
china/employment/EB1,2025-08-01,17485.0,17482.707381486893
china/employment/EB1,2025-09-01,17485.0,17485.019327014685
china/employment/EB1,2025-10-01,17522.0,17481.58860564232
china/employment/EB1,2025-11-01,17522.0,17526.416630744934
china/employment/EB1,2025-12-01,17553.0,17527.197134017944
china/employment/EB1,2026-01-01,17563.0,17564.368968963623
china/employment/EB1,2026-02-01,17563.0,17576.65602016449
china/employment/EB1,2026-03-01,17591.0,17566.684078216553
china/employment/EB1,2026-04-01,17622.0,17598.041182994843
china/employment/EB1,2026-05-01,17622.0,17636.6499004364
china/employment/EB1,2026-06-01,17622.0,17633.86018562317
china/employment/EB1,2026-07-01,17683.0,17627.399444580078
china/employment/EB1,2026-08-01,17713.0,17703.324821472168
china/employment/EB1,2026-09-01,17713.0,17741.532278060913
china/employment/EB2,2024-10-01,16517.0,16498.381805181503
china/employment/EB2,2024-11-01,16517.0,16524.766218185425
china/employment/EB2,2024-12-01,16517.0,16519.67806649208
china/employment/EB2,2025-01-01,16548.0,16517.722981631756
china/employment/EB2,2025-02-01,16548.0,16556.470672607422
china/employment/EB2,2025-03-01,16564.0,16556.02330970764
china/employment/EB2,2025-04-01,16710.0,16568.686334609985
china/employment/EB2,2025-05-01,16710.0,16757.835556030273
china/employment/EB2,2025-06-01,16771.0,16734.79820251465
china/employment/EB2,2025-07-01,16785.0,16797.532917022705
china/employment/EB2,2025-08-01,16785.0,16796.59076690674
china/employment/EB2,2025-09-01,16785.0,16789.00673723221
china/employment/EB2,2025-10-01,16892.0,16786.264469623566
china/employment/EB2,2025-11-01,16892.0,16929.296417236328
china/employment/EB2,2025-12-01,16953.0,16910.57857322693
china/employment/EB2,2026-01-01,17045.0,16980.632442474365
china/employment/EB2,2026-02-01,17045.0,17098.29067993164
china/employment/EB2,2026-03-01,17045.0,17070.143390655518
china/employment/EB2,2026-04-01,17045.0,17047.242630004883
china/employment/EB2,2026-05-01,17045.0,17039.952187538147
china/employment/EB2,2026-06-01,17045.0,17042.141387224197
china/employment/EB2,2026-07-01,17045.0,17046.18438911438
china/employment/EB2,2026-08-01,17045.0,17045.62527960539
china/employment/EB2,2026-09-01,17045.0,17042.0411362648
china/employment/EB3,2024-10-01,16527.0,16677.626517295837
china/employment/EB3,2024-11-01,16527.0,16488.89268875122
china/employment/EB3,2024-12-01,16527.0,16483.271224975586
china/employment/EB3,2025-01-01,16588.0,16507.604627609253
china/employment/EB3,2025-02-01,16618.0,16592.604892253876
china/employment/EB3,2025-03-01,16649.0,16636.041271209717
china/employment/EB3,2025-04-01,16741.0,16665.57217025757
china/employment/EB3,2025-05-01,16741.0,16775.35066986084
china/employment/EB3,2025-06-01,16762.0,16755.74179649353
china/employment/EB3,2025-07-01,16771.0,16771.756672859192
china/employment/EB3,2025-08-01,16771.0,16767.655839681625
china/employment/EB3,2025-09-01,16771.0,16772.754858970642
china/employment/EB3,2025-10-01,16861.0,16768.179479122162
china/employment/EB3,2025-11-01,16861.0,16894.75594329834
china/employment/EB3,2025-12-01,16892.0,16884.732761383057
china/employment/EB3,2026-01-01,16922.0,16905.236212730408
china/employment/EB3,2026-02-01,16922.0,16940.061988830566
china/employment/EB3,2026-03-01,16922.0,16927.159138679504
china/employment/EB3,2026-04-01,16967.0,16924.946880578995
china/employment/EB3,2026-05-01,16967.0,16979.974817276
china/employment/EB3,2026-06-01,17014.0,16969.89050936699
china/employment/EB3,2026-07-01,17157.0,17025.57801437378
china/employment/EB3,2026-08-01,17167.0,17207.249313354492
china/employment/EB3,2026-09-01,17167.0,17186.646312713623
china/employment/EB3_OW,2024-10-01,15341.0,15342.197276353836
china/employment/EB3_OW,2024-11-01,15341.0,15326.156858444214
china/employment/EB3_OW,2024-12-01,15341.0,15317.122816085815
china/employment/EB3_OW,2025-01-01,15341.0,15317.286487579346
china/employment/EB3_OW,2025-02-01,15341.0,15331.372175216675
china/employment/EB3_OW,2025-03-01,15341.0,15338.394446611404
china/employment/EB3_OW,2025-04-01,15431.0,15326.101888656616
china/employment/EB3_OW,2025-05-01,15431.0,15453.92227935791
china/employment/EB3_OW,2025-06-01,15431.0,15442.823642730713
china/employment/EB3_OW,2025-07-01,15461.0,15423.721895694733
china/employment/EB3_OW,2025-08-01,15461.0,15464.316546916962
china/employment/EB3_OW,2025-09-01,15461.0,15463.692101478577
china/employment/EB3_OW,2025-10-01,15675.0,15464.679114341736
china/employment/EB3_OW,2025-11-01,15675.0,15736.179870605469
china/employment/EB3_OW,2025-12-01,15682.0,15722.236255645752
china/employment/EB3_OW,2026-01-01,16047.0,15693.591124534607
china/employment/EB3_OW,2026-02-01,16047.0,16164.589797973633
china/employment/EB3_OW,2026-03-01,16047.0,16153.312896728516
china/employment/EB3_OW,2026-04-01,16102.0,16067.737634658813
china/employment/EB3_OW,2026-05-01,16102.0,16095.845076560974
china/employment/EB3_OW,2026-06-01,16161.0,16093.608986854553
china/employment/EB3_OW,2026-07-01,16161.0,16203.524158477783
china/employment/EB3_OW,2026-08-01,16191.0,16170.671615600586
china/employment/EB3_OW,2026-09-01,16191.0,16209.716037750244
china/family/F1,2024-10-01,14904.0,14912.07597732544
china/family/F1,2024-11-01,14904.0,14894.758096694946
china/family/F1,2024-12-01,14904.0,14901.431990146637
china/family/F1,2025-01-01,14935.0,14897.91607427597
china/family/F1,2025-02-01,14935.0,14942.979090690613
china/family/F1,2025-03-01,14935.0,14942.125182628632
china/family/F1,2025-04-01,15049.0,14939.792006492615
china/family/F1,2025-05-01,15049.0,15090.664680480957
china/family/F1,2025-06-01,15134.0,15076.973384857178
china/family/F1,2025-07-01,15171.0,15173.667251586914
china/family/F1,2025-08-01,15171.0,15202.032159805298
china/family/F1,2025-09-01,15171.0,15183.599895477295
china/family/F1,2025-10-01,15287.0,15175.538717269897
china/family/F1,2025-11-01,15287.0,15318.540006637573
china/family/F1,2025-12-01,15287.0,15306.358791351318
china/family/F1,2026-01-01,15287.0,15288.067633152008
china/family/F1,2026-02-01,15287.0,15285.397664189339
china/family/F1,2026-03-01,15287.0,15281.788269996643
china/family/F1,2026-04-01,15461.0,15282.651751041412
china/family/F1,2026-05-01,15584.0,15514.802349090576
china/family/F1,2026-06-01,15584.0,15668.991798400879
china/family/F1,2026-07-01,15737.0,15612.749561309814
china/family/F1,2026-08-01,16054.0,15802.098449707031
china/family/F1,2026-09-01,16457.0,16181.726272583008
china/family/F2A,2024-10-01,17127.0,17152.0294342041
china/family/F2A,2024-11-01,17167.0,17133.97974395752
china/family/F2A,2024-12-01,17167.0,17186.556797027588
china/family/F2A,2025-01-01,17167.0,17182.59875202179
china/family/F2A,2025-02-01,17167.0,17186.863271713257
china/family/F2A,2025-03-01,17167.0,17176.78773498535
china/family/F2A,2025-04-01,17167.0,17181.02638244629
china/family/F2A,2025-05-01,17167.0,17172.257961273193
china/family/F2A,2025-06-01,17167.0,17174.018990516663
china/family/F2A,2025-07-01,17410.0,17173.24064064026
china/family/F2A,2025-08-01,17410.0,17480.54648590088
china/family/F2A,2025-09-01,17410.0,17445.551330566406
china/family/F2A,2025-10-01,17928.0,17417.61437034607
china/family/F2A,2025-11-01,17928.0,18020.016021728516
china/family/F2A,2025-12-01,17928.0,17934.586258411407
china/family/F2A,2026-01-01,17928.0,17980.316535949707
