unique_id,ds,y,deepar-robust
china/family/F2B,2026-02-01,15310.0,15313.170612335205
china/family/F2B,2026-03-01,15310.0,15308.348210811615
china/family/F2B,2026-04-01,15482.0,15306.995417118073
china/family/F2B,2026-05-01,15482.0,15567.17497253418
china/family/F2B,2026-06-01,15605.0,15512.28726196289
china/family/F2B,2026-07-01,15666.0,15673.591941833496
china/family/F2B,2026-08-01,15706.0,15713.190074920654
china/family/F2B,2026-09-01,16304.0,15735.170078277588
china/family/F3,2024-10-01,12874.0,12871.756891012192
china/family/F3,2024-11-01,12888.0,12869.04628944397
china/family/F3,2024-12-01,12888.0,12894.964403629303
china/family/F3,2025-01-01,12965.0,12889.536442279816
china/family/F3,2025-02-01,12965.0,13016.945320129395
china/family/F3,2025-03-01,12965.0,12975.712677955627
china/family/F3,2025-04-01,13239.0,12966.719604969025
china/family/F3,2025-05-01,13239.0,13359.420608520508
china/family/F3,2025-06-01,13321.0,13284.192325592041
china/family/F3,2025-07-01,13361.0,13350.551218032837
china/family/F3,2025-08-01,13361.0,13383.205446243286
china/family/F3,2025-09-01,13361.0,13359.754956841469
china/family/F3,2025-10-01,13399.0,13358.924152851105
china/family/F3,2025-11-01,13399.0,13419.019605636597
china/family/F3,2025-12-01,13399.0,13409.366147994995
china/family/F3,2026-01-01,13399.0,13397.213834524155
china/family/F3,2026-02-01,13399.0,13402.84394645691
china/family/F3,2026-03-01,13399.0,13396.414377212524
china/family/F3,2026-04-01,13504.0,13399.896937727928
china/family/F3,2026-05-01,13559.0,13549.656116485596
china/family/F3,2026-06-01,13559.0,13603.689105987549
china/family/F3,2026-07-01,13619.0,13565.20422077179
china/family/F3,2026-08-01,13649.0,13637.184627532959
china/family/F3,2026-09-01,14539.0,13662.467924118042
india/family/F2B,2024-10-01,15096.0,15095.04532545805
india/family/F2B,2024-11-01,15096.0,15093.628464221954
india/family/F2B,2024-12-01,15096.0,15097.768729925156
india/family/F2B,2025-01-01,15117.0,15102.509239196777
india/family/F2B,2025-02-01,15117.0,15133.022541046143
india/family/F2B,2025-03-01,15117.0,15124.656445980072
india/family/F2B,2025-04-01,15178.0,15118.503557443619
india/family/F2B,2025-05-01,15178.0,15218.896858215332
india/family/F2B,2025-06-01,15240.0,15188.152185440063
india/family/F2B,2025-07-01,15263.0,15278.912124633789
india/family/F2B,2025-08-01,15263.0,15278.006826400757
india/family/F2B,2025-09-01,15263.0,15262.667298614979
india/family/F2B,2025-10-01,15301.0,15256.05080318451
india/family/F2B,2025-11-01,15310.0,15317.540601730347
india/family/F2B,2025-12-01,15310.0,15317.746417045593
india/family/F2B,2026-01-01,15310.0,15312.226011276245
india/family/F2B,2026-02-01,15310.0,15307.238316059113
india/family/F2B,2026-03-01,15310.0,15309.600300848484
india/family/F2B,2026-04-01,15482.0,15306.398865699768
india/family/F2B,2026-05-01,15482.0,15560.935577392578
india/family/F2B,2026-06-01,15605.0,15505.61762046814
india/family/F2B,2026-07-01,15666.0,15669.746711730957
india/family/F2B,2026-08-01,15706.0,15712.888313293457
india/family/F2B,2026-09-01,16304.0,15735.37167930603
india/family/F3,2024-10-01,12874.0,12868.099332809448
india/family/F3,2024-11-01,12888.0,12867.280554771423
india/family/F3,2024-12-01,12888.0,12897.953742980957
india/family/F3,2025-01-01,12965.0,12890.196303844452
india/family/F3,2025-02-01,12965.0,13010.696128845215
india/family/F3,2025-03-01,12965.0,12982.07761001587
india/family/F3,2025-04-01,13239.0,12963.260168910027
india/family/F3,2025-05-01,13239.0,13364.681823730469
india/family/F3,2025-06-01,13321.0,13273.96329498291
india/family/F3,2025-07-01,13361.0,13356.252582550049
india/family/F3,2025-08-01,13361.0,13392.679748535156
india/family/F3,2025-09-01,13361.0,13356.204662322998
india/family/F3,2025-10-01,13399.0,13350.255151748657
india/family/F3,2025-11-01,13399.0,13417.633459091187
india/family/F3,2025-12-01,13399.0,13402.88070511818
india/family/F3,2026-01-01,13399.0,13393.122967243195
india/family/F3,2026-02-01,13399.0,13394.769804954529
india/family/F3,2026-03-01,13399.0,13386.528755187988
india/family/F3,2026-04-01,13504.0,13396.991245031357
india/family/F3,2026-05-01,13559.0,13566.20767211914
