unique_id,ds,y,deepar-legacy
all_chargeability/family/F2A,2026-03-01,17928.0,17938.719
all_chargeability/family/F2A,2026-04-01,17928.0,17867.008
all_chargeability/family/F2A,2026-05-01,18110.0,17965.531
all_chargeability/family/F2A,2026-06-01,18263.0,18177.664
all_chargeability/family/F2A,2026-07-01,18263.0,18373.812
all_chargeability/family/F2A,2026-08-01,18830.0,18306.219
all_chargeability/family/F2A,2026-09-01,18861.0,19006.012
china/employment/EB1,2024-10-01,17478.0,17476.297
china/employment/EB1,2024-11-01,17478.0,17477.46
china/employment/EB1,2024-12-01,17478.0,17482.71
china/employment/EB1,2025-01-01,17478.0,17484.984
china/employment/EB1,2025-02-01,17478.0,17481.43
china/employment/EB1,2025-03-01,17478.0,17476.457
china/employment/EB1,2025-04-01,17478.0,17476.062
china/employment/EB1,2025-05-01,17478.0,17486.23
china/employment/EB1,2025-06-01,17478.0,17491.615
china/employment/EB1,2025-07-01,17485.0,17490.54
china/employment/EB1,2025-08-01,17485.0,17492.791
china/employment/EB1,2025-09-01,17485.0,17501.45
china/employment/EB1,2025-10-01,17522.0,17496.648
china/employment/EB1,2025-11-01,17522.0,17529.912
china/employment/EB1,2025-12-01,17553.0,17523.12
china/employment/EB1,2026-01-01,17563.0,17561.193
china/employment/EB1,2026-02-01,17563.0,17570.21
china/employment/EB1,2026-03-01,17591.0,17565.277
china/employment/EB1,2026-04-01,17622.0,17602.04
china/employment/EB1,2026-05-01,17622.0,17634.293
china/employment/EB1,2026-06-01,17622.0,17632.598
china/employment/EB1,2026-07-01,17683.0,17628.393
china/employment/EB1,2026-08-01,17713.0,17699.674
china/employment/EB1,2026-09-01,17713.0,17728.617
china/employment/EB2,2024-10-01,16517.0,16492.5
china/employment/EB2,2024-11-01,16517.0,16525.25
china/employment/EB2,2024-12-01,16517.0,16522.986
china/employment/EB2,2025-01-01,16548.0,16508.443
china/employment/EB2,2025-02-01,16548.0,16563.193
china/employment/EB2,2025-03-01,16564.0,16557.781
china/employment/EB2,2025-04-01,16710.0,16578.99
china/employment/EB2,2025-05-01,16710.0,16777.457
china/employment/EB2,2025-06-01,16771.0,16749.025
china/employment/EB2,2025-07-01,16785.0,16805.75
china/employment/EB2,2025-08-01,16785.0,16810.07
china/employment/EB2,2025-09-01,16785.0,16753.264
china/employment/EB2,2025-10-01,16892.0,16784.336
china/employment/EB2,2025-11-01,16892.0,16867.984
china/employment/EB2,2025-12-01,16953.0,16925.879
china/employment/EB2,2026-01-01,17045.0,16962.184
china/employment/EB2,2026-02-01,17045.0,17094.043
china/employment/EB2,2026-03-01,17045.0,17056.0
china/employment/EB2,2026-04-01,17045.0,17047.086
china/employment/EB2,2026-05-01,17045.0,17034.418
china/employment/EB2,2026-06-01,17045.0,17020.86
china/employment/EB2,2026-07-01,17045.0,17045.945
china/employment/EB2,2026-08-01,17045.0,17043.883
china/employment/EB2,2026-09-01,17045.0,17029.486
china/employment/EB3,2024-10-01,16527.0,16659.176
china/employment/EB3,2024-11-01,16527.0,16503.79
china/employment/EB3,2024-12-01,16527.0,16518.37
china/employment/EB3,2025-01-01,16588.0,16558.406
china/employment/EB3,2025-02-01,16618.0,16617.95
china/employment/EB3,2025-03-01,16649.0,16640.984
china/employment/EB3,2025-04-01,16741.0,16681.984
china/employment/EB3,2025-05-01,16741.0,16748.16
china/employment/EB3,2025-06-01,16762.0,16750.887
china/employment/EB3,2025-07-01,16771.0,16767.46
china/employment/EB3,2025-08-01,16771.0,16807.752
china/employment/EB3,2025-09-01,16771.0,16785.77
china/employment/EB3,2025-10-01,16861.0,16781.53
china/employment/EB3,2025-11-01,16861.0,16880.934
china/employment/EB3,2025-12-01,16892.0,16873.895
china/employment/EB3,2026-01-01,16922.0,16905.77
china/employment/EB3,2026-02-01,16922.0,16949.715
china/employment/EB3,2026-03-01,16922.0,16958.201
china/employment/EB3,2026-04-01,16967.0,16940.887
china/employment/EB3,2026-05-01,16967.0,17000.45
china/employment/EB3,2026-06-01,17014.0,17001.05
china/employment/EB3,2026-07-01,17157.0,17035.145
china/employment/EB3,2026-08-01,17167.0,17213.416
china/employment/EB3,2026-09-01,17167.0,17209.38
china/employment/EB3_OW,2024-10-01,15341.0,15284.976
china/employment/EB3_OW,2024-11-01,15341.0,15301.8955
china/employment/EB3_OW,2024-12-01,15341.0,15266.468
china/employment/EB3_OW,2025-01-01,15341.0,15332.172
china/employment/EB3_OW,2025-02-01,15341.0,15399.43
china/employment/EB3_OW,2025-03-01,15341.0,15358.461
china/employment/EB3_OW,2025-04-01,15431.0,15347.393
china/employment/EB3_OW,2025-05-01,15431.0,15451.417
china/employment/EB3_OW,2025-06-01,15431.0,15450.655
china/employment/EB3_OW,2025-07-01,15461.0,15438.265
china/employment/EB3_OW,2025-08-01,15461.0,15466.205
china/employment/EB3_OW,2025-09-01,15461.0,15489.762
china/employment/EB3_OW,2025-10-01,15675.0,15477.418
china/employment/EB3_OW,2025-11-01,15675.0,15710.271
china/employment/EB3_OW,2025-12-01,15682.0,15682.193
china/employment/EB3_OW,2026-01-01,16047.0,15703.641
china/employment/EB3_OW,2026-02-01,16047.0,16102.883
china/employment/EB3_OW,2026-03-01,16047.0,16072.456
china/employment/EB3_OW,2026-04-01,16102.0,16076.176
china/employment/EB3_OW,2026-05-01,16102.0,16061.346
china/employment/EB3_OW,2026-06-01,16161.0,16033.198
china/employment/EB3_OW,2026-07-01,16161.0,16190.961
china/employment/EB3_OW,2026-08-01,16191.0,16184.453
china/employment/EB3_OW,2026-09-01,16191.0,16179.215
china/family/F1,2024-10-01,14904.0,14989.803
china/family/F1,2024-11-01,14904.0,14907.633
china/family/F1,2024-12-01,14904.0,14896.836
china/family/F1,2025-01-01,14935.0,14904.942
china/family/F1,2025-02-01,14935.0,14927.535
china/family/F1,2025-03-01,14935.0,14930.395
china/family/F1,2025-04-01,15049.0,14930.221
china/family/F1,2025-05-01,15049.0,15078.459
china/family/F1,2025-06-01,15134.0,15066.705
china/family/F1,2025-07-01,15171.0,15169.598
china/family/F1,2025-08-01,15171.0,15204.531
china/family/F1,2025-09-01,15171.0,15177.0205
china/family/F1,2025-10-01,15287.0,15176.142
china/family/F1,2025-11-01,15287.0,15313.378
china/family/F1,2025-12-01,15287.0,15235.023
china/family/F1,2026-01-01,15287.0,15292.007
china/family/F1,2026-02-01,15287.0,15332.59
china/family/F1,2026-03-01,15287.0,15265.616
china/family/F1,2026-04-01,15461.0,15273.927
china/family/F1,2026-05-01,15584.0,15523.908
china/family/F1,2026-06-01,15584.0,15674.496
china/family/F1,2026-07-01,15737.0,15616.738
china/family/F1,2026-08-01,16054.0,15815.641
china/family/F1,2026-09-01,16457.0,16180.365
china/family/F2A,2024-10-01,17127.0,16966.13
china/family/F2A,2024-11-01,17167.0,17035.77
china/family/F2A,2024-12-01,17167.0,17220.135
china/family/F2A,2025-01-01,17167.0,17205.95
china/family/F2A,2025-02-01,17167.0,17141.371
china/family/F2A,2025-03-01,17167.0,17192.578
china/family/F2A,2025-04-01,17167.0,17199.305
china/family/F2A,2025-05-01,17167.0,17169.895
china/family/F2A,2025-06-01,17167.0,17173.176
china/family/F2A,2025-07-01,17410.0,17194.527
china/family/F2A,2025-08-01,17410.0,17431.453
china/family/F2A,2025-09-01,17410.0,17447.068
china/family/F2A,2025-10-01,17928.0,17457.938
china/family/F2A,2025-11-01,17928.0,17984.629
china/family/F2A,2025-12-01,17928.0,17971.105
china/family/F2A,2026-01-01,17928.0,17970.246
china/family/F2A,2026-02-01,17928.0,17928.254
china/family/F2A,2026-03-01,17928.0,17869.447
china/family/F2A,2026-04-01,17928.0,17939.756
china/family/F2A,2026-05-01,18110.0,17977.719
china/family/F2A,2026-06-01,18263.0,18207.57
china/family/F2A,2026-07-01,18263.0,18422.285
china/family/F2A,2026-08-01,18830.0,18367.855
china/family/F2A,2026-09-01,18861.0,19062.707
china/family/F4,2024-10-01,11900.0,11904.431
china/family/F4,2024-11-01,11900.0,11893.648
china/family/F4,2024-12-01,11900.0,11899.069
china/family/F4,2025-01-01,11900.0,11895.0625
china/family/F4,2025-02-01,11900.0,11898.445
china/family/F4,2025-03-01,11900.0,11901.451
china/family/F4,2025-04-01,11900.0,11899.547
china/family/F4,2025-05-01,12053.0,11898.021
china/family/F4,2025-06-01,12053.0,12053.412
china/family/F4,2025-07-01,12053.0,12077.436
china/family/F4,2025-08-01,12053.0,12059.058
china/family/F4,2025-09-01,12053.0,12047.088
china/family/F4,2025-10-01,12060.0,12050.899
china/family/F4,2025-11-01,12060.0,12069.851
china/family/F4,2025-12-01,12060.0,12048.27
china/family/F4,2026-01-01,12060.0,12055.066
china/family/F4,2026-02-01,12060.0,12057.069
china/family/F4,2026-03-01,12060.0,12061.509
china/family/F4,2026-04-01,12212.0,12056.031
china/family/F4,2026-05-01,12311.0,12239.957
china/family/F4,2026-06-01,12365.0,12350.961
china/family/F4,2026-07-01,12419.0,12406.914
china/family/F4,2026-08-01,12662.0,12439.716
china/family/F4,2026-09-01,13443.0,12737.443
india/employment/EB1,2024-10-01,17198.0,17188.648
india/employment/EB1,2024-11-01,17198.0,17249.918
india/employment/EB1,2024-12-01,17198.0,17289.229
india/employment/EB1,2025-01-01,17198.0,17336.836
india/employment/EB1,2025-02-01,17198.0,17188.803
india/employment/EB1,2025-03-01,17198.0,17214.488
india/employment/EB1,2025-04-01,17212.0,17269.105
india/employment/EB1,2025-05-01,17212.0,17208.684
india/employment/EB1,2025-06-01,17212.0,17278.012
india/employment/EB1,2025-07-01,17212.0,17244.664
india/employment/EB1,2025-08-01,17212.0,17231.455
india/employment/EB1,2025-09-01,17212.0,17306.332
india/employment/EB1,2025-10-01,17212.0,17218.91
india/employment/EB1,2025-11-01,17212.0,17244.117
india/employment/EB1,2025-12-01,17240.0,17283.436
india/employment/EB1,2026-01-01,17563.0,17306.084
india/employment/EB1,2026-02-01,17563.0,17621.715
india/employment/EB1,2026-03-01,17591.0,17619.557
india/employment/EB1,2026-04-01,17622.0,17600.027
india/employment/EB1,2026-05-01,17622.0,17634.246
india/employment/EB1,2026-06-01,17515.0,17622.398
india/employment/EB1,2026-07-01,17454.0,17563.453
india/employment/EB1,2026-08-01,17454.0,17488.285
india/employment/EB1,2026-09-01,17454.0,17533.988
india/employment/EB2,2024-07-01,13680.0,13670.419
india/employment/EB2,2024-08-01,13710.0,13774.273
india/employment/EB2,2024-09-01,13710.0,13788.938
india/employment/EB2,2024-10-01,13710.0,13729.095
india/employment/EB2,2024-11-01,13710.0,13707.078
india/employment/EB2,2024-12-01,13727.0,13726.48
india/employment/EB2,2025-01-01,13788.0,13749.315
india/employment/EB2,2025-02-01,13802.0,13775.616
india/employment/EB2,2025-03-01,13849.0,13794.553
india/employment/EB2,2025-04-01,13880.0,13850.102
india/employment/EB2,2025-05-01,13880.0,13885.82
india/employment/EB2,2025-06-01,13880.0,13870.08
india/employment/EB2,2025-07-01,13880.0,13895.81
india/employment/EB2,2025-08-01,13880.0,13893.426
india/employment/EB2,2025-09-01,13880.0,13894.842
india/employment/EB2,2025-10-01,13970.0,13915.798
india/employment/EB2,2025-11-01,13970.0,14002.51
india/employment/EB2,2025-12-01,14014.0,14017.758
india/employment/EB2,2026-01-01,14075.0,14024.209
india/employment/EB2,2026-02-01,14075.0,14114.455
india/employment/EB2,2026-03-01,14137.0,14088.79
india/employment/EB2,2026-04-01,14440.0,14132.178
india/employment/EB2,2026-05-01,14440.0,14539.773
india/employment/EB2,2026-06-01,14123.0,14527.546
india/employment/EB3,2024-10-01,13819.0,13832.201
india/employment/EB3,2024-11-01,13819.0,13833.838
india/employment/EB3,2024-12-01,13826.0,13833.723
india/employment/EB3,2025-01-01,13849.0,13811.047
india/employment/EB3,2025-02-01,13863.0,13855.05
india/employment/EB3,2025-03-01,13911.0,13877.254
india/employment/EB3,2025-04-01,13970.0,13927.094
india/employment/EB3,2025-05-01,13984.0,14005.212
india/employment/EB3,2025-06-01,13984.0,14002.646
india/employment/EB3,2025-07-01,13991.0,13998.683
india/employment/EB3,2025-08-01,14021.0,14009.582
india/employment/EB3,2025-09-01,14021.0,14064.859
india/employment/EB3,2025-10-01,14113.0,14003.4375
india/employment/EB3,2025-11-01,14113.0,14145.664
india/employment/EB3,2025-12-01,14144.0,14126.96
india/employment/EB3,2026-01-01,14198.0,14137.795
india/employment/EB3,2026-02-01,14198.0,14212.024
india/employment/EB3,2026-03-01,14198.0,14218.23
india/employment/EB3,2026-04-01,14198.0,14229.336
india/employment/EB3,2026-05-01,14198.0,14200.559
india/employment/EB3,2026-06-01,14228.0,14226.3125
india/employment/EB3,2026-07-01,14245.0,14251.699
india/employment/EB3,2026-08-01,14245.0,14222.691
india/employment/EB3,2026-09-01,14245.0,14272.85
india/employment/EB3_OW,2024-10-01,13819.0,13817.595
india/employment/EB3_OW,2024-11-01,13819.0,13829.924
india/employment/EB3_OW,2024-12-01,13826.0,13832.498
india/employment/EB3_OW,2025-01-01,13849.0,13833.896
india/employment/EB3_OW,2025-02-01,13863.0,13850.203
india/employment/EB3_OW,2025-03-01,13911.0,13888.838
india/employment/EB3_OW,2025-04-01,13970.0,13931.553
india/employment/EB3_OW,2025-05-01,13984.0,13991.583
india/employment/EB3_OW,2025-06-01,13984.0,14010.41
india/employment/EB3_OW,2025-07-01,13991.0,14005.393
india/employment/EB3_OW,2025-08-01,14021.0,14010.76
india/employment/EB3_OW,2025-09-01,14021.0,14032.936
india/employment/EB3_OW,2025-10-01,14113.0,14036.542
india/employment/EB3_OW,2025-11-01,14113.0,14126.451
india/employment/EB3_OW,2025-12-01,14144.0,14141.274
india/employment/EB3_OW,2026-01-01,14198.0,14153.433
india/employment/EB3_OW,2026-02-01,14198.0,14206.546
india/employment/EB3_OW,2026-03-01,14198.0,14214.401
india/employment/EB3_OW,2026-04-01,14198.0,14199.1875
india/employment/EB3_OW,2026-05-01,14198.0,14247.988
india/employment/EB3_OW,2026-06-01,14228.0,14245.574
india/employment/EB3_OW,2026-07-01,14245.0,14269.186
india/employment/EB3_OW,2026-08-01,14245.0,14262.667
india/employment/EB3_OW,2026-09-01,14245.0,14234.742
india/family/F1,2024-10-01,14904.0,14966.74
india/family/F1,2024-11-01,14904.0,14923.61
india/family/F1,2024-12-01,14904.0,14933.783
india/family/F1,2025-01-01,14935.0,14890.378
india/family/F1,2025-02-01,14935.0,14932.167
india/family/F1,2025-03-01,14935.0,14926.051
india/family/F1,2025-04-01,15049.0,14944.735
india/family/F1,2025-05-01,15049.0,15068.822
india/family/F1,2025-06-01,15134.0,15057.403
india/family/F1,2025-07-01,15171.0,15183.707
india/family/F1,2025-08-01,15171.0,15211.646
india/family/F1,2025-09-01,15171.0,15197.604
india/family/F1,2025-10-01,15287.0,15202.292
india/family/F1,2025-11-01,15287.0,15307.718
india/family/F1,2025-12-01,15287.0,15261.845
india/family/F1,2026-01-01,15287.0,15325.389
india/family/F1,2026-02-01,15287.0,15328.848
india/family/F1,2026-03-01,15287.0,15258.791
