unique_id,ds,y,deepar-robust
all_chargeability/family/F2A,2025-07-01,17410.0,17172.80363368988
all_chargeability/family/F2A,2025-08-01,17410.0,17466.578567504883
all_chargeability/family/F2A,2025-09-01,17410.0,17445.534698486328
all_chargeability/family/F2A,2025-10-01,17928.0,17424.9521112442
all_chargeability/family/F2A,2025-11-01,17928.0,17969.99856185913
all_chargeability/family/F2A,2025-12-01,17928.0,17941.84153366089
all_chargeability/family/F2A,2026-01-01,17928.0,17998.796844482422
all_chargeability/family/F2A,2026-02-01,17928.0,17983.05590057373
all_chargeability/family/F2A,2026-03-01,17928.0,17963.019721984863
all_chargeability/family/F2A,2026-04-01,17928.0,17924.580684661865
all_chargeability/family/F2A,2026-05-01,18110.0,17947.01309967041
all_chargeability/family/F2A,2026-06-01,18263.0,18154.85080718994
all_chargeability/family/F2A,2026-07-01,18263.0,18343.017944335938
all_chargeability/family/F2A,2026-08-01,18830.0,18325.314155578613
all_chargeability/family/F2A,2026-09-01,18861.0,18981.8818359375
china/employment/EB1,2024-10-01,17478.0,17490.350925445557
china/employment/EB1,2024-11-01,17478.0,17484.953844070435
china/employment/EB1,2024-12-01,17478.0,17484.25408220291
china/employment/EB1,2025-01-01,17478.0,17481.266125440598
china/employment/EB1,2025-02-01,17478.0,17478.969624638557
china/employment/EB1,2025-03-01,17478.0,17478.636328220367
china/employment/EB1,2025-04-01,17478.0,17478.66517186165
china/employment/EB1,2025-05-01,17478.0,17483.547826766968
china/employment/EB1,2025-06-01,17478.0,17486.72483062744
china/employment/EB1,2025-07-01,17485.0,17484.152795791626
china/employment/EB1,2025-08-01,17485.0,17487.999472141266
china/employment/EB1,2025-09-01,17485.0,17494.735473632812
china/employment/EB1,2025-10-01,17522.0,17491.486660003662
china/employment/EB1,2025-11-01,17522.0,17531.160760879517
china/employment/EB1,2025-12-01,17553.0,17529.597318649292
china/employment/EB1,2026-01-01,17563.0,17566.346306800842
china/employment/EB1,2026-02-01,17563.0,17575.814422607422
china/employment/EB1,2026-03-01,17591.0,17567.411271572113
china/employment/EB1,2026-04-01,17622.0,17600.47456741333
china/employment/EB1,2026-05-01,17622.0,17635.263402938843
china/employment/EB1,2026-06-01,17622.0,17632.349778175354
china/employment/EB1,2026-07-01,17683.0,17626.84534931183
china/employment/EB1,2026-08-01,17713.0,17700.015369415283
china/employment/EB1,2026-09-01,17713.0,17733.251543045044
china/employment/EB2,2024-10-01,16517.0,16497.915558218956
china/employment/EB2,2024-11-01,16517.0,16524.97936630249
china/employment/EB2,2024-12-01,16517.0,16524.234793186188
china/employment/EB2,2025-01-01,16548.0,16516.380421996117
china/employment/EB2,2025-02-01,16548.0,16556.9987783432
china/employment/EB2,2025-03-01,16564.0,16554.420462608337
china/employment/EB2,2025-04-01,16710.0,16573.90263748169
china/employment/EB2,2025-05-01,16710.0,16753.882431030273
china/employment/EB2,2025-06-01,16771.0,16743.83770751953
china/employment/EB2,2025-07-01,16785.0,16809.42951965332
china/employment/EB2,2025-08-01,16785.0,16811.22310066223
china/employment/EB2,2025-09-01,16785.0,16788.662802696228
china/employment/EB2,2025-10-01,16892.0,16791.90057659149
china/employment/EB2,2025-11-01,16892.0,16908.34121131897
china/employment/EB2,2025-12-01,16953.0,16918.461322784424
china/employment/EB2,2026-01-01,17045.0,16976.21414756775
china/employment/EB2,2026-02-01,17045.0,17095.089485168457
china/employment/EB2,2026-03-01,17045.0,17067.981729507446
china/employment/EB2,2026-04-01,17045.0,17061.71159553528
china/employment/EB2,2026-05-01,17045.0,17051.82682991028
china/employment/EB2,2026-06-01,17045.0,17045.256801605225
china/employment/EB2,2026-07-01,17045.0,17051.572854995728
china/employment/EB2,2026-08-01,17045.0,17050.86283969879
china/employment/EB2,2026-09-01,17045.0,17045.311912298203
china/employment/EB3,2024-10-01,16527.0,16677.629511356354
china/employment/EB3,2024-11-01,16527.0,16502.460567474365
china/employment/EB3,2024-12-01,16527.0,16504.289865493774
china/employment/EB3,2025-01-01,16588.0,16515.338368415833
china/employment/EB3,2025-02-01,16618.0,16588.773528456688
china/employment/EB3,2025-03-01,16649.0,16628.305265426636
china/employment/EB3,2025-04-01,16741.0,16670.862634658813
china/employment/EB3,2025-05-01,16741.0,16763.78049468994
china/employment/EB3,2025-06-01,16762.0,16758.004077911377
china/employment/EB3,2025-07-01,16771.0,16771.561779022217
china/employment/EB3,2025-08-01,16771.0,16785.88348388672
china/employment/EB3,2025-09-01,16771.0,16770.747848838568
china/employment/EB3,2025-10-01,16861.0,16765.736642360687
china/employment/EB3,2025-11-01,16861.0,16872.692177772522
china/employment/EB3,2025-12-01,16892.0,16870.028784751892
china/employment/EB3,2026-01-01,16922.0,16903.229892730713
china/employment/EB3,2026-02-01,16922.0,16941.153366088867
china/employment/EB3,2026-03-01,16922.0,16942.02949142456
china/employment/EB3,2026-04-01,16967.0,16927.824787139893
china/employment/EB3,2026-05-01,16967.0,16984.337516784668
china/employment/EB3,2026-06-01,17014.0,16981.726371765137
china/employment/EB3,2026-07-01,17157.0,17031.201499938965
china/employment/EB3,2026-08-01,17167.0,17196.77410888672
china/employment/EB3,2026-09-01,17167.0,17184.604118347168
china/employment/EB3_OW,2024-10-01,15341.0,15332.244955062866
china/employment/EB3_OW,2024-11-01,15341.0,15330.149567604065
china/employment/EB3_OW,2024-12-01,15341.0,15314.862892150879
china/employment/EB3_OW,2025-01-01,15341.0,15328.920330047607
china/employment/EB3_OW,2025-02-01,15341.0,15358.169778823853
china/employment/EB3_OW,2025-03-01,15341.0,15344.366154193878
china/employment/EB3_OW,2025-04-01,15431.0,15339.206723809242
china/employment/EB3_OW,2025-05-01,15431.0,15447.762405395508
china/employment/EB3_OW,2025-06-01,15431.0,15446.764114379883
china/employment/EB3_OW,2025-07-01,15461.0,15437.553520202637
china/employment/EB3_OW,2025-08-01,15461.0,15465.279696464539
china/employment/EB3_OW,2025-09-01,15461.0,15468.529445648193
china/employment/EB3_OW,2025-10-01,15675.0,15459.534039974213
china/employment/EB3_OW,2025-11-01,15675.0,15722.333625793457
china/employment/EB3_OW,2025-12-01,15682.0,15708.737159729004
china/employment/EB3_OW,2026-01-01,16047.0,15709.306789398193
china/employment/EB3_OW,2026-02-01,16047.0,16155.779327392578
china/employment/EB3_OW,2026-03-01,16047.0,16119.785217285156
china/employment/EB3_OW,2026-04-01,16102.0,16099.890045166016
china/employment/EB3_OW,2026-05-01,16102.0,16123.04176902771
china/employment/EB3_OW,2026-06-01,16161.0,16113.319598197937
china/employment/EB3_OW,2026-07-01,16161.0,16197.910942077637
china/employment/EB3_OW,2026-08-01,16191.0,16191.15969467163
china/employment/EB3_OW,2026-09-01,16191.0,16208.68701171875
china/family/F1,2024-10-01,14904.0,14927.369834899902
china/family/F1,2024-11-01,14904.0,14912.15654373169
china/family/F1,2024-12-01,14904.0,14908.538725852966
china/family/F1,2025-01-01,14935.0,14910.002705574036
china/family/F1,2025-02-01,14935.0,14940.408607006073
china/family/F1,2025-03-01,14935.0,14941.067064285278
china/family/F1,2025-04-01,15049.0,14939.859620571136
china/family/F1,2025-05-01,15049.0,15082.858688354492
china/family/F1,2025-06-01,15134.0,15074.232082366943
china/family/F1,2025-07-01,15171.0,15168.611320495605
china/family/F1,2025-08-01,15171.0,15200.951309204102
china/family/F1,2025-09-01,15171.0,15185.499870300293
china/family/F1,2025-10-01,15287.0,15180.716028213501
china/family/F1,2025-11-01,15287.0,15318.63408088684
china/family/F1,2025-12-01,15287.0,15295.810851097107
china/family/F1,2026-01-01,15287.0,15301.917234420776
china/family/F1,2026-02-01,15287.0,15307.449642181396
china/family/F1,2026-03-01,15287.0,15286.623259067535
china/family/F1,2026-04-01,15461.0,15285.93332195282
china/family/F1,2026-05-01,15584.0,15497.652011871338
china/family/F1,2026-06-01,15584.0,15650.966674804688
china/family/F1,2026-07-01,15737.0,15615.643856048584
china/family/F1,2026-08-01,16054.0,15800.205612182617
china/family/F1,2026-09-01,16457.0,16181.556915283203
china/family/F2A,2024-10-01,17127.0,17148.653617858887
