unique_id,ds,y,control-patchtst
china/family/F2B,2026-02-01,15310.0,15315.139876365662
china/family/F2B,2026-03-01,15310.0,15311.963100552559
china/family/F2B,2026-04-01,15482.0,15313.391976356506
china/family/F2B,2026-05-01,15482.0,15494.918201446533
china/family/F2B,2026-06-01,15605.0,15493.478899002075
china/family/F2B,2026-07-01,15666.0,15679.45140838623
china/family/F2B,2026-08-01,15706.0,15712.306324005127
china/family/F2B,2026-09-01,16304.0,15734.821950912476
china/family/F3,2024-10-01,12874.0,12877.424602746964
china/family/F3,2024-11-01,12888.0,12872.170159578323
china/family/F3,2024-12-01,12888.0,12903.18874168396
china/family/F3,2025-01-01,12965.0,12893.866078853607
china/family/F3,2025-02-01,12965.0,13016.276599884033
china/family/F3,2025-03-01,12965.0,12974.423956871033
china/family/F3,2025-04-01,13239.0,12970.597612380981
china/family/F3,2025-05-01,13239.0,13328.846504211426
china/family/F3,2025-06-01,13321.0,13251.271649360657
china/family/F3,2025-07-01,13361.0,13392.267074584961
china/family/F3,2025-08-01,13361.0,13394.114501953125
china/family/F3,2025-09-01,13361.0,13351.74359703064
china/family/F3,2025-10-01,13399.0,13362.92008960247
china/family/F3,2025-11-01,13399.0,13437.508651733398
china/family/F3,2025-12-01,13399.0,13409.144241333008
china/family/F3,2026-01-01,13399.0,13418.820482254028
china/family/F3,2026-02-01,13399.0,13410.49158859253
china/family/F3,2026-03-01,13399.0,13400.432310581207
china/family/F3,2026-04-01,13504.0,13409.53395652771
china/family/F3,2026-05-01,13559.0,13568.911437988281
china/family/F3,2026-06-01,13559.0,13608.118648529053
china/family/F3,2026-07-01,13619.0,13570.41403388977
china/family/F3,2026-08-01,13649.0,13667.80969619751
china/family/F3,2026-09-01,14539.0,13677.727756500244
india/family/F2B,2024-10-01,15096.0,15087.568669319153
india/family/F2B,2024-11-01,15096.0,15091.591623783112
india/family/F2B,2024-12-01,15096.0,15100.980428695679
india/family/F2B,2025-01-01,15117.0,15098.16585946083
india/family/F2B,2025-02-01,15117.0,15132.84761428833
india/family/F2B,2025-03-01,15117.0,15118.571300029755
india/family/F2B,2025-04-01,15178.0,15116.237645149231
india/family/F2B,2025-05-01,15178.0,15233.146816253662
india/family/F2B,2025-06-01,15240.0,15178.338826954365
india/family/F2B,2025-07-01,15263.0,15289.457344055176
india/family/F2B,2025-08-01,15263.0,15285.439224243164
india/family/F2B,2025-09-01,15263.0,15262.152265071869
india/family/F2B,2025-10-01,15301.0,15261.537794470787
india/family/F2B,2025-11-01,15310.0,15333.921615600586
